5271920110527-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5271920120323-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5271920120324 28.1  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 52  7.1 -99-99.9-9.9-9.9
5271920120325 26.6  7.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 55  7.2 -99-99.9-9.9-9.9
5271920120326 25.4  8.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 51  4.8 -99-99.9-9.9-9.9
5271920120327 25.4  0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 47  1.9 -99-99.9-9.9-9.9
5271920120328 28.1  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 51  5.3 -99-99.9-9.9-9.9
5271920120329 30.2 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 34  6.3 -99-99.9-9.9-9.9
5271920120330 33.2  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 51  7.9 -99-99.9-9.9-9.9
5271920120331 33.3 11.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.1 47  9.6 -99-99.9-9.9-9.9
5271920120401 32.3 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 50  9.4 -99-99.9-9.9-9.9
5271920120402 27.7  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 53  6.8 -99-99.9-9.9-9.9
5271920120403 28.7  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 52  7.2 -99-99.9-9.9-9.9
5271920120404 28.1 13.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 36  2.2 -99-99.9-9.9-9.9
5271920120405 20.3  7.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 37 -0.7 -99-99.9-9.9-9.9
5271920120406 26.8 15.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 36  5.1 -99-99.9-9.9-9.9
5271920120407 25.5 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 37  5.0 -99-99.9-9.9-9.9
5271920120408 22.8  5.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 59  4.7 -99-99.9-9.9-9.9
5271920120409 25.9  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 57  6.1 -99-99.9-9.9-9.9
