5272120101213-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272120101214 32.2  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 39  7.3 -99-99.9-9.9-9.9
5272120101215 34.4  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 36  9.3 -99-99.9-9.9-9.9
5272120101216 36.1 15.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.0 41 11.8 -99-99.9-9.9-9.9
5272120101217 37.4 19.2  0.009999-99.9-99.9-99.9-99.9-9.9 9916.0 42 13.9 -99-99.9-9.9-9.9
5272120101218 29.4 20.2  3.719999-99.9-99.9-99.9-99.9-9.9 9918.9 72 16.6 -99-99.9-9.9-9.9
5272120101219 21.7 18.8 11.619999-99.9-99.9-99.9-99.9-9.9 9923.1 96 19.8 -99-99.9-9.9-9.9
5272120101220 32.9 17.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.1 72 19.0 -99-99.9-9.9-9.9
5272120101221 36.6 16.0  0.009999-99.9-99.9-99.9-99.9-9.9 9919.0 31 16.6 -99-99.9-9.9-9.9
5272120101222 37.8 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 38 14.4 -99-99.9-9.9-9.9
5272120101223 37.3 16.3  1.819999-99.9-99.9-99.9-99.9-9.9 9921.1 51 18.2 -99-99.9-9.9-9.9
5272120101224 33.0 21.9  0.009999-99.9-99.9-99.9-99.9-9.9 9928.6 81 23.0 -99-99.9-9.9-9.9
5272120101225 38.3 16.7  0.009999-99.9-99.9-99.9-99.9-9.9 9940.7100 27.8 -99-99.9-9.9-9.9
5272120101226 38.8 14.2  0.009999-99.9-99.9-99.9-99.9-9.9 9914.1 33 11.7 -99-99.9-9.9-9.9
5272120101227 39.2 14.9  0.009999-99.9-99.9-99.9-99.9-9.9 9942.0 79 27.5 -99-99.9-9.9-9.9
5272120101228 37.5 16.6  0.009999-99.9-99.9-99.9-99.9-9.9 9940.7100 28.5 -99-99.9-9.9-9.9
5272120101229 35.0 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 9937.8100 27.3 -99-99.9-9.9-9.9
5272120101230 34.0 17.6  0.009999-99.9-99.9-99.9-99.9-9.9 9936.1100 26.6 -99-99.9-9.9-9.9
5272120101231 35.6 19.6  0.009999-99.9-99.9-99.9-99.9-9.9 9939.2100 28.0 -99-99.9-9.9-9.9
5272120110101 34.8 22.1  0.009999-99.9-99.9-99.9-99.9-9.9 9938.4100 27.8 -99-99.9-9.9-9.9
5272120110102 35.3 20.7  0.009999-99.9-99.9-99.9-99.9-9.9 9936.7100 27.0 -99-99.9-9.9-9.9
5272120110103 31.7 21.0  0.009999-99.9-99.9-99.9-99.9-9.9 9930.8100 24.4 -99-99.9-9.9-9.9
5272120110104 34.3 20.5  0.009999-99.9-99.9-99.9-99.9-9.9 9935.8100 26.5 -99-99.9-9.9-9.9
5272120110105 33.0 21.1  0.009999-99.9-99.9-99.9-99.9-9.9 9933.5100 25.5 -99-99.9-9.9-9.9
5272120110106 37.0 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9938.4100 26.9 -99-99.9-9.9-9.9
5272120110107 37.2 16.5 11.419999-99.9-99.9-99.9-99.9-9.9 9940.6100 28.2 -99-99.9-9.9-9.9
5272120110108 35.9 21.4  0.009999-99.9-99.9-99.9-99.9-9.9 9940.3100 28.6 -99-99.9-9.9-9.9
5272120110109 37.2 21.9  0.009999-99.9-99.9-99.9-99.9-9.9 9942.3100 29.3 -99-99.9-9.9-9.9
5272120110110 33.6 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9933.8100 25.5 -99-99.9-9.9-9.9
5272120110111 32.4 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 9932.1100 24.9 -99-99.9-9.9-9.9
5272120110112 32.2 17.7  0.009999-99.9-99.9-99.9-99.9-9.9 9932.2100 24.8 -99-99.9-9.9-9.9
5272120110113 35.1 19.3  0.009999-99.9-99.9-99.9-99.9-9.9 9937.3100 27.0 -99-99.9-9.9-9.9
5272120110114 38.7 17.5  0.009999-99.9-99.9-99.9-99.9-9.9 9943.8100 29.4 -99-99.9-9.9-9.9
5272120110115 40.0 18.8  0.009999-99.9-99.9-99.9-99.9-9.9 9947.4100 31.0 -99-99.9-9.9-9.9
5272120110116 41.1 21.7  4.519999-99.9-99.9-99.9-99.9-9.9 9940.9100 28.3 -99-99.9-9.9-9.9
5272120110117 30.1 20.3  0.009999-99.9-99.9-99.9-99.9-9.9 9930.4100 24.2 -99-99.9-9.9-9.9
5272120110118 36.9 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9940.5100 28.3 -99-99.9-9.9-9.9
5272120110119 37.3 19.5 21.219999-99.9-99.9-99.9-99.9-9.9 9933.3100 25.1 -99-99.9-9.9-9.9
5272120110120 32.1 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9932.6100 24.9 -99-99.9-9.9-9.9
5272120110121 33.7 16.0  0.009999-99.9-99.9-99.9-99.9-9.9 9933.0100 24.9 -99-99.9-9.9-9.9
5272120110122 36.4 18.7  0.009999-99.9-99.9-99.9-99.9-9.9 9939.7100 28.1 -99-99.9-9.9-9.9
5272120110123 38.2 20.2  0.009999-99.9-99.9-99.9-99.9-9.9 9943.8100 29.8 -99-99.9-9.9-9.9
5272120110124 39.1 22.9  0.009999-99.9-99.9-99.9-99.9-9.9 9946.2100 30.9 -99-99.9-9.9-9.9
5272120110125 35.5 21.3  5.919999-99.9-99.9-99.9-99.9-9.9 9937.1100 27.3 -99-99.9-9.9-9.9
5272120110126 29.8 22.4 55.119999-99.9-99.9-99.9-99.9-9.9 9931.5100 24.8 -99-99.9-9.9-9.9
5272120110127 34.2 22.2  0.009999-99.9-99.9-99.9-99.9-9.9 9938.5100 27.9 -99-99.9-9.9-9.9
5272120110128 35.8 22.5  5.819999-99.9-99.9-99.9-99.9-9.9 9935.6100 26.6 -99-99.9-9.9-9.9
5272120110129 36.2 20.1  0.009999-99.9-99.9-99.9-99.9-9.9 9940.1100 28.4 -99-99.9-9.9-9.9
5272120110130 36.6 24.3  0.319999-99.9-99.9-99.9-99.9-9.9 9941.4100 29.2 -99-99.9-9.9-9.9
5272120110131 30.6 23.9  1.219999-99.9-99.9-99.9-99.9-9.9 9935.0100 26.6 -99-99.9-9.9-9.9
5272120110201 30.3 18.1  0.009999-99.9-99.9-99.9-99.9-9.9 9930.4100 23.7 -99-99.9-9.9-9.9
5272120110202 33.5 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9931.6100 23.8 -99-99.9-9.9-9.9
5272120110203 36.7 15.0  8.519999-99.9-99.9-99.9-99.9-9.9 9937.6 88 26.6 -99-99.9-9.9-9.9
5272120110204 35.7 21.8  0.009999-99.9-99.9-99.9-99.9-9.9 9938.6100 27.8 -99-99.9-9.9-9.9
5272120110205 38.2 18.8  0.009999-99.9-99.9-99.9-99.9-9.9 9943.2100 29.3 -99-99.9-9.9-9.9
5272120110206 32.3 19.7  0.009999-99.9-99.9-99.9-99.9-9.9 9934.4100 26.0 -99-99.9-9.9-9.9
5272120110207 30.8 20.5 34.219999-99.9-99.9-99.9-99.9-9.9 9931.8100 24.8 -99-99.9-9.9-9.9
5272120110208 23.1 18.8 28.419999-99.9-99.9-99.9-99.9-9.9 9923.5100 20.1 -99-99.9-9.9-9.9
5272120110209 27.7 19.3  3.719999-99.9-99.9-99.9-99.9-9.9 9927.6100 22.5 -99-99.9-9.9-9.9
5272120110210 27.4 18.4  0.009999-99.9-99.9-99.9-99.9-9.9 9927.0100 22.1 -99-99.9-9.9-9.9
5272120110211 30.3 18.9  0.009999-99.9-99.9-99.9-99.9-9.9 9932.0100 24.8 -99-99.9-9.9-9.9
5272120110212 31.9 20.4  0.009999-99.9-99.9-99.9-99.9-9.9 9931.3100 24.5 -99-99.9-9.9-9.9
5272120110213 32.2 18.0  0.009999-99.9-99.9-99.9-99.9-9.9 9932.4100 24.7 -99-99.9-9.9-9.9
5272120110214 31.9 16.1  0.009999-99.9-99.9-99.9-99.9-9.9 9930.2100 23.4 -99-99.9-9.9-9.9
