5273920150619-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5273920150620 21.8  3.1  0.009999-99.9-99.9-99.9-99.9 6.4 6213.3 84 10.6   4  2.910.5 1.7
5273920150621 24.6 11.4  0.009999-99.9-99.9-99.9-99.9 3.3 3217.2 87 15.0   1  0.6 7.2 1.4
5273920150622 26.3 15.9 40.519999-99.9-99.9-99.9-99.9 1.1 1121.0 98 18.2   7  6.0 4.8 2.0
5273920150623 17.9 12.0  9.219999-99.9-99.9-99.9-99.9-9.9 9915.1100 13.1  14 11.0 0.9-9.9
5273920150624 15.1 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.9100 13.9   5  3.7 1.4-9.9
5273920150625 24.5 12.5  0.009999-99.9-99.9-99.9-99.9 7.0 6718.7 87 16.3   6  4.811.1 3.3
5273920150626 25.6 15.8  0.009999-99.9-99.9-99.9-99.9 6.3 6019.9 80 17.4   7  5.310.3 4.5
5273920150627 26.0 17.3  0.009999-99.9-99.9-99.9-99.9 7.7 7420.0 79 17.5   8  6.511.9 7.1
5273920150628 26.3 17.5 15.219999-99.9-99.9-99.9-99.9 2.8 2720.8 88 18.1   9  6.9 6.7 4.3
5273920150629 19.5 17.2 63.819999-99.9-99.9-99.9-99.9-9.9 9919.9100 17.4   8  6.6 0.1-9.9
5273920150630 22.4 14.4  0.009999-99.9-99.9-99.9-99.9 4.0 3918.0 93 15.8   3  2.4 8.0 1.9
5273920150701 21.5 11.5  0.009999-99.9-99.9-99.9-99.9 6.5 6216.5 91 14.4   3  2.410.6 2.1
5273920150702 20.0 13.6  0.219999-99.9-99.9-99.9-99.9 1.1 1018.2 95 16.0   5  3.7 4.8 1.1
5273920150703 19.8 11.6  0.009999-99.9-99.9-99.9-99.9 5.4 5214.1 79 11.8  16 12.6 9.510.4
5273920150704 13.3  5.4  0.009999-99.9-99.9-99.9-99.9 5.9 5710.0 86  7.0   5  3.910.0 2.7
5273920150705 16.9  5.8  0.009999-99.9-99.9-99.9-99.9 7.6 7311.3 83  8.6   4  3.311.9 2.3
5273920150706 18.2 11.9  1.819999-99.9-99.9-99.9-99.9-9.9 9917.0 98 14.9   5  3.6 2.7-9.9
5273920150707 16.4 14.5  0.219999-99.9-99.9-99.9-99.9-9.9 9917.4100 15.4   9  7.6 1.0-9.9
5273920150708 16.5 14.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.9 99 14.9   6  4.6 2.3-9.9
5273920150709 21.8 14.3  0.009999-99.9-99.9-99.9-99.9 5.3 5117.6 90 15.5   5  3.6 9.6 2.4
5273920150710 19.7 14.0  8.819999-99.9-99.9-99.9-99.9-9.9 9919.0100 16.6   5  4.2 3.2-9.9
5273920150711 21.6 16.7  0.009999-99.9-99.9-99.9-99.9 1.6 1620.7 94 18.0   4  3.0 5.6 1.6
5273920150712 24.3 17.5  0.009999-99.9-99.9-99.9-99.9-9.9 9923.8 97 20.2   5  4.3 3.1-9.9
5273920150713 25.6 16.9  0.009999-99.9-99.9-99.9-99.9-9.9 9922.2 99 19.0  10  7.9 3.0-9.9
5273920150714 17.0 11.2  0.009999-99.9-99.9-99.9-99.9 4.1 3912.8 85 10.5  12 10.0 8.3 6.7
5273920150715 18.7  8.0  0.009999-99.9-99.9-99.9-99.9 7.8 7410.1 73  6.9   6  5.212.5 6.7
5273920150716 19.6  6.1  0.009999-99.9-99.9-99.9-99.9 6.7 6413.6 91 11.3   5  3.811.4 1.4
5273920150717 19.7 12.6  0.009999-99.9-99.9-99.9-99.9 4.7 4414.5 86 12.4   3  2.6 9.1 2.5
5273920150718 24.5  9.8  2.219999-99.9-99.9-99.9-99.9 4.2 4018.9 91 16.2   5  3.9 8.6 1.4
5273920150719 28.5 18.3 16.519999-99.9-99.9-99.9-99.9 3.6 3423.7 87 20.2   6  4.9 8.0 3.7
5273920150720 21.9 10.1  0.009999-99.9-99.9-99.9-99.9-9.9 9916.0 92 13.5  14 11.4 3.9-9.9
5273920150721 18.0  4.9  0.009999-99.9-99.9-99.9-99.9 8.1 7710.1 80  7.0   4  3.113.1 3.3
5273920150722 18.4  4.4  0.009999-99.9-99.9-99.9-99.9 7.9 7510.8 82  8.0   3  2.213.0 2.4
5273920150723 22.3  8.4  0.009999-99.9-99.9-99.9-99.9 4.6 4414.8 82 12.8   2  1.9 9.3 1.9
5273920150724 21.0  7.9  0.009999-99.9-99.9-99.9-99.9 8.0 7513.2 83 11.0   4  3.113.2 3.6
5273920150725 21.3  8.6  0.009999-99.9-99.9-99.9-99.9 7.8 7314.4 88 12.3   4  2.813.1 2.9
5273920150726 22.8  8.6  0.009999-99.9-99.9-99.9-99.9 8.1 7615.8 86 13.7   3  2.713.4 2.9
5273920150727 27.8 12.0  0.009999-99.9-99.9-99.9-99.9 7.1 6718.6 82 16.2   6  4.912.4 4.5
5273920150728 29.1 18.4  0.009999-99.9-99.9-99.9-99.9 2.2 2121.6 75 18.7   9  7.0 6.7 7.3
5273920150729 30.3 18.9  0.009999-99.9-99.9-99.9-99.9 4.2 3921.0 71 18.3   7  5.3 9.1 8.4
5273920150730 31.6 20.0  0.009999-99.9-99.9-99.9-99.9 7.8 7320.8 63 18.1  12  9.513.415.9
5273920150731 31.2 20.0  0.009999-99.9-99.9-99.9-99.9 7.5 7020.7 65 18.0   9  7.413.113.5
5273920150801 30.4 18.0  0.009999-99.9-99.9-99.9-99.9 5.3 4921.0 73 18.3   9  7.310.5 9.7
5273920150802 31.1 20.9  0.009999-99.9-99.9-99.9-99.9 6.7 6219.3 58 16.9   9  7.512.214.6
5273920150803 32.7 21.2  0.009999-99.9-99.9-99.9-99.9 6.2 5722.0 67 18.9   7  5.311.710.1
5273920150804 29.6 20.6  7.219999-99.9-99.9-99.9-99.9 3.9 3624.1 79 20.5   7  5.5 9.0 6.6
5273920150805 27.9 20.0  0.009999-99.9-99.9-99.9-99.9 4.0 3723.2 81 19.9  11  8.5 9.1 7.5
5273920150806 32.6 23.2  0.009999-99.9-99.9-99.9-99.9 6.5 6021.2 57 18.4  17 13.312.3-9.9
5273920150807 32.0 25.1  0.009999-99.9-99.9-99.9-99.9 6.8 6223.3 64 19.8  13 10.012.719.4
5273920150808 33.6 24.0  0.009999-99.9-99.9-99.9-99.9 6.8 6224.0 59 20.4  15 11.612.822.0
5273920150809 33.2 21.9 18.219999-99.9-99.9-99.9-99.9 7.6 6918.6 49 16.3  17 13.613.8-9.9
5273920150810 26.9 13.9  6.219999-99.9-99.9-99.9-99.9-9.9 9917.8 95 15.6  12  9.6 4.4-9.9
5273920150811 22.2 16.1  0.009999-99.9-99.9-99.9-99.9 1.2 1120.9 96 18.2   8  6.2 6.0 1.8
5273920150812 25.2 17.8  0.009999-99.9-99.9-99.9-99.9 0.7  621.6 91 18.7   8  6.3 5.4 2.8
5273920150813 18.6 14.1  0.219999-99.9-99.9-99.9-99.9-9.9 9916.5 97 14.4  10  7.6 2.9-9.9
5273920150814 16.2 13.6  0.009999-99.9-99.9-99.9-99.9-9.9 9916.2 99 14.2   7  5.7 1.7-9.9
5273920150815 18.4 12.2  0.009999-99.9-99.9-99.9-99.9 3.1 2814.4 88 12.4   6  4.8 8.6 3.1
5273920150816 18.7 11.1  0.819999-99.9-99.9-99.9-99.9 0.0  017.1 95 14.9   7  5.3 4.7 1.0
5273920150817 18.4 14.7 42.819999-99.9-99.9-99.9-99.9-9.9 9919.0100 16.6   6  4.6 1.0-9.9
5273920150818 17.8 14.0  0.519999-99.9-99.9-99.9-99.9-9.9 9917.8100 15.7  12  9.4 3.6-9.9
5273920150819 23.8 12.9  0.009999-99.9-99.9-99.9-99.9 8.3 7416.1 84 14.1   5  3.915.6 5.2
5273920150820 19.1 12.8  0.009999-99.9-99.9-99.9-99.9 1.0  916.0 92 14.0   5  3.9 6.1 2.5
5273920150821 25.8 10.1  0.009999-99.9-99.9-99.9-99.9 8.7 7716.1 78 13.9   4  3.216.2 4.7
5273920150822 25.8 16.2  0.009999-99.9-99.9-99.9-99.9 0.4  320.6 79 17.9   7  5.4 5.3 4.7
5273920150823 22.7 16.0  0.009999-99.9-99.9-99.9-99.9 5.4 4813.9 60 11.4  15 12.012.118.7
5273920150824 20.9 11.6  0.009999-99.9-99.9-99.9-99.9 7.5 6713.4 75 11.2  10  7.615.0 8.8
5273920150825 26.3 10.3  0.009999-99.9-99.9-99.9-99.9 7.9 7018.5 82 16.0   6  4.515.6 4.0
5273920150826 30.5 18.9  1.819999-99.9-99.9-99.9-99.9 2.1 1923.2 87 19.9   5  3.9 7.9 4.5
5273920150827 26.1 13.8  0.009999-99.9-99.9-99.9-99.9 9.2 8115.4 63 13.1   5  4.017.6 8.7
5273920150828 27.5 11.4  0.009999-99.9-99.9-99.9-99.9 8.9 7815.2 57 13.2   7  5.617.210.0
5273920150829 31.1 15.0  0.009999-99.9-99.9-99.9-99.9 8.6 7519.2 66 16.8   9  7.116.912.0
5273920150830 33.2 18.1  0.009999-99.9-99.9-99.9-99.9 8.4 7419.3 57 16.9   8  6.116.813.6
5273920150831 35.9 20.1  0.009999-99.9-99.9-99.9-99.9 8.3 7222.6 60 19.3   6  4.716.611.6
5273920150901 27.0 16.5  0.009999-99.9-99.9-99.9-99.9-9.9 9919.4 87 16.8  18 14.4 4.9-9.9
5273920150902 23.3 13.4  0.009999-99.9-99.9-99.9-99.9 7.0 6117.1 79 15.0   8  6.715.1 6.7
5273920150903 22.2 14.6  0.009999-99.9-99.9-99.9-99.9 3.2 2815.7 79 13.7  10  8.0 9.8 9.3
5273920150904 22.3  9.0  0.009999-99.9-99.9-99.9-99.9 9.5 8212.8 74 10.6   7  5.218.7 7.9
5273920150905 22.6  8.5  0.009999-99.9-99.9-99.9-99.9 9.4 8112.9 73 10.7   6  4.918.7 7.1
5273920150906 23.3  6.9  0.009999-99.9-99.9-99.9-99.9 9.6 8312.6 71 10.3   5  3.719.1 6.4
5273920150907 26.2 10.7  0.009999-99.9-99.9-99.9-99.9 5.6 4816.2 69 14.1   6  4.913.5 6.4
5273920150908 26.4 13.3  0.009999-99.9-99.9-99.9-99.9 8.3 7115.2 72 13.1   6  5.017.4 9.3
5273920150909 28.3 10.0  0.009999-99.9-99.9-99.9-99.9 9.0 7715.3 67 13.2   6  4.718.6 8.6
5273920150910 21.6 14.2  0.009999-99.9-99.9-99.9-99.9 3.3 2815.3 77 13.2  14 11.210.411.2
5273920150911 20.3  4.2  0.009999-99.9-99.9-99.9-99.9 9.7 82 7.5 50  2.5   9  7.319.714.3
5273920150912 21.9  1.5  0.009999-99.9-99.9-99.9-99.910.0 85 8.1 55  3.8   3  2.620.3 6.1
5273920150913 25.2  5.0  0.009999-99.9-99.9-99.9-99.910.1 86 9.4 52  5.9   4  3.620.6 8.5
5273920150914 28.1  5.3  0.009999-99.9-99.9-99.9-99.910.1 8510.3 47  7.2   7  5.320.712.3
5273920150915 33.7 15.1  0.009999-99.9-99.9-99.9-99.9 7.9 6619.8 57 16.9   9  7.117.512.9
5273920150916 36.6 21.2  0.009999-99.9-99.9-99.9-99.9 7.9 6621.9 56 18.8  14 11.517.624.7
5273920150917 24.7 14.5  0.009999-99.9-99.9-99.9-99.9 4.5 3818.2 78 15.9  12  9.512.6 8.9
5273920150918 21.8 16.8  1.219999-99.9-99.9-99.9-99.9-9.9 9919.5 90 17.1   8  6.5 5.7-9.9
5273920150919 25.6 17.4  5.819999-99.9-99.9-99.9-99.9 2.5 2121.2 88 18.4   8  6.8 9.6 5.0
5273920150920 24.2 17.6  0.009999-99.9-99.9-99.9-99.9 1.3 1123.3 95 19.9  10  7.9 8.0 2.4
5273920150921 37.6 19.6  0.009999-99.9-99.9-99.9-99.9 7.6 6327.0 70 22.3   7  5.617.6 9.8
5273920150922 35.5 21.8  0.009999-99.9-99.9-99.9-99.9 7.2 6028.1 73 23.0   5  3.817.1 9.2
5273920150923 28.2 20.4  0.009999-99.9-99.9-99.9-99.9-9.9 9924.2 93 20.5   9  7.6 5.9-9.9
5273920150924 21.6 17.4  0.009999-99.9-99.9-99.9-99.9-9.9 9919.6 87 17.2  10  7.8 4.3-9.9
5273920150925 23.7 16.2  0.009999-99.9-99.9-99.9-99.9 5.0 4218.2 81 16.0  12  9.813.9 9.3
