5284220061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5284220151130-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5284220151201 25.3 12.5-99.999999-99.9-99.9-99.9-99.9-9.9 9911.9 62  9.2 -99-99.9-9.9-9.9
5284220151202 23.4  6.8-99.999999-99.9-99.9-99.9-99.9-9.9 9913.7 68 11.3 -99-99.9-9.9-9.9
5284220151203 31.1 14.8  0.009999-99.9-99.9-99.9-99.9-9.9 9917.7 65 15.5 -99-99.9-9.9-9.9
5284220151204 32.9 17.0  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 52 12.1 -99-99.9-9.9-9.9
5284220151205 22.8 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 52  6.3 -99-99.9-9.9-9.9
5284220151206 27.3  3.5  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 52  8.0 -99-99.9-9.9-9.9
5284220151207 30.6 14.4  0.009999-99.9-99.9-99.9-99.9-9.9 9916.1 58 14.0 -99-99.9-9.9-9.9
5284220151208 25.4 12.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 53 10.1 -99-99.9-9.9-9.9
5284220151209 28.8  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.0 42  6.6 -99-99.9-9.9-9.9
5284220151210 31.2 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 40  8.0 -99-99.9-9.9-9.9
5284220151211 34.0 11.9  0.009999-99.9-99.9-99.9-99.9-9.9 9910.9 37  7.7 -99-99.9-9.9-9.9
5284220151212 33.9 15.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.7 36  6.4 -99-99.9-9.9-9.9
5284220151213 31.8 11.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.0 37  8.2 -99-99.9-9.9-9.9
5284220151214 23.9 13.5  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 64 10.9 -99-99.9-9.9-9.9
5284220151215 27.6  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 50  7.8 -99-99.9-9.9-9.9
5284220151216 23.5 14.4  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 93 15.5 -99-99.9-9.9-9.9
5284220151217 24.0 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 53  9.1 -99-99.9-9.9-9.9
5284220151218 19.7  8.5  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 65  7.3 -99-99.9-9.9-9.9
5284220151219 32.6  3.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 31  4.8 -99-99.9-9.9-9.9
5284220151220 35.7 13.8  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 30  8.5 -99-99.9-9.9-9.9
5284220151221 36.3 21.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 28  5.6 -99-99.9-9.9-9.9
5284220151222 33.0 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9 34  6.5 -99-99.9-9.9-9.9
5284220151223 27.9 16.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 20  2.6 -99-99.9-9.9-9.9
5284220151224 35.4  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 19  2.1 -99-99.9-9.9-9.9
5284220151225 38.0 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9914.9 38 12.4 -99-99.9-9.9-9.9
5284220151226 37.8 22.9  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 30 11.3 -99-99.9-9.9-9.9
5284220151227 37.8 15.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.0 38 11.4 -99-99.9-9.9-9.9
5284220151228 37.2 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9918.2 53 15.9 -99-99.9-9.9-9.9
5284220151229 29.9 20.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 35  8.7 -99-99.9-9.9-9.9
5284220151230 30.4 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 50 12.2 -99-99.9-9.9-9.9
5284220151231 25.1 15.3  0.009999-99.9-99.9-99.9-99.9-9.9 9916.9 70 14.8 -99-99.9-9.9-9.9
5284220160101 28.1 15.1  0.009999-99.9-99.9-99.9-99.9-9.9 9920.6 78 17.9 -99-99.9-9.9-9.9
5284220160102 35.2 18.1  0.009999-99.9-99.9-99.9-99.9-9.9 9921.5 67 18.6 -99-99.9-9.9-9.9
5284220160103 32.8 18.7  0.009999-99.9-99.9-99.9-99.9-9.9 9923.6 84 20.1 -99-99.9-9.9-9.9
5284220160104 29.7 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 75 17.6 -99-99.9-9.9-9.9
5284220160105 27.3 12.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 48 10.2 -99-99.9-9.9-9.9
5284220160106 33.4 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 50 12.3 -99-99.9-9.9-9.9
5284220160107 27.0 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 59 12.3 -99-99.9-9.9-9.9
5284220160108 33.7 15.3  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 58 12.5 -99-99.9-9.9-9.9
5284220160109 23.6  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 48  8.5 -99-99.9-9.9-9.9
5284220160110 33.6 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 49 12.3 -99-99.9-9.9-9.9
5284220160111 36.8 14.0  0.009999-99.9-99.9-99.9-99.9-9.9 9914.2 37 11.4 -99-99.9-9.9-9.9
5284220160112 28.7 14.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 44  9.4 -99-99.9-9.9-9.9
5284220160113 29.9 11.3  0.009999-99.9-99.9-99.9-99.9-9.9 9913.4 47 11.2 -99-99.9-9.9-9.9
5284220160114 39.0 13.9  0.009999-99.9-99.9-99.9-99.9-9.9 9914.9 44 12.7 -99-99.9-9.9-9.9
5284220160115 26.0 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.1 57 13.1 -99-99.9-9.9-9.9
5284220160116 32.9 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 9914.9 44 12.7 -99-99.9-9.9-9.9
5284220160117 30.4 15.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 35  8.9 -99-99.9-9.9-9.9
5284220160118 34.4 10.6  0.009999-99.9-99.9-99.9-99.9-9.9 9913.2 44 10.9 -99-99.9-9.9-9.9
5284220160119 22.2 17.8  0.009999-99.9-99.9-99.9-99.9-9.9 9919.8 94 17.3 -99-99.9-9.9-9.9
5284220160120 29.1 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9920.8 70 18.1 -99-99.9-9.9-9.9
5284220160121 34.8 20.4  0.009999-99.9-99.9-99.9-99.9-9.9 9925.4 65 21.3 -99-99.9-9.9-9.9
5284220160122 31.6 20.3  0.009999-99.9-99.9-99.9-99.9-9.9 9919.6 58 16.9 -99-99.9-9.9-9.9
5284220160123 27.3 14.6  0.009999-99.9-99.9-99.9-99.9-9.9 9917.4 62 15.3 -99-99.9-9.9-9.9
5284220160124 22.5 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9921.9100 19.0 -99-99.9-9.9-9.9
5284220160125 23.2 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 63 12.4 -99-99.9-9.9-9.9
5284220160126 29.1  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 9913.7 53 11.5 -99-99.9-9.9-9.9
5284220160127 22.6 15.9  0.009999-99.9-99.9-99.9-99.9-9.9 9918.3 89 16.0 -99-99.9-9.9-9.9
5284220160128 31.6 14.9  0.009999-99.9-99.9-99.9-99.9-9.9 9918.4 65 16.1 -99-99.9-9.9-9.9
5284220160129 33.4 16.0  0.009999-99.9-99.9-99.9-99.9-9.9 9918.2 62 15.9 -99-99.9-9.9-9.9
5284220160130 26.7 15.8  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 56 12.5 -99-99.9-9.9-9.9
5284220160131 26.2  7.7  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 64 10.6 -99-99.9-9.9-9.9
5284220160201 28.5  9.5  0.009999-99.9-99.9-99.9-99.9-9.9 9916.1 64 14.0 -99-99.9-9.9-9.9
5284220160202 33.0 14.3  0.009999-99.9-99.9-99.9-99.9-9.9 9917.0 53 14.8 -99-99.9-9.9-9.9
5284220160203 34.9 15.9  0.009999-99.9-99.9-99.9-99.9-9.9 9917.4 59 15.2 -99-99.9-9.9-9.9
5284220160204 32.9 17.6  0.009999-99.9-99.9-99.9-99.9-9.9 9922.1 68 19.1 -99-99.9-9.9-9.9
5284220160205 22.4 17.5  0.009999-99.9-99.9-99.9-99.9-9.9 9919.9 87 17.4 -99-99.9-9.9-9.9
5284220160206 21.8 16.8  0.009999-99.9-99.9-99.9-99.9-9.9 9920.2 92 17.6 -99-99.9-9.9-9.9
5284220160207 28.5 16.8  0.009999-99.9-99.9-99.9-99.9-9.9 9922.0 86 19.0 -99-99.9-9.9-9.9
5284220160208 33.7 17.0  0.009999-99.9-99.9-99.9-99.9-9.9 9920.0 75 17.3 -99-99.9-9.9-9.9
5284220160209 30.5 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 56 12.5 -99-99.9-9.9-9.9
5284220160210 33.9 11.9  0.009999-99.9-99.9-99.9-99.9-9.9 9918.2 58 15.8 -99-99.9-9.9-9.9
5284220160211 32.8 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9923.2 85 19.9 -99-99.9-9.9-9.9
5284220160212 35.8 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9918.6 52 16.0 -99-99.9-9.9-9.9
5284220160213 26.5 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.5 45  7.5 -99-99.9-9.9-9.9
5284220160214 30.9 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 39  9.3 -99-99.9-9.9-9.9
5284220160215 36.1 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 43 12.4 -99-99.9-9.9-9.9
5284220160216 37.7 18.2  0.009999-99.9-99.9-99.9-99.9-9.9 9921.6 57 18.6 -99-99.9-9.9-9.9
5284220160217 26.6 17.4  0.009999-99.9-99.9-99.9-99.9-9.9 9917.3 67 15.0 -99-99.9-9.9-9.9
5284220160218 34.1 13.2  0.009999-99.9-99.9-99.9-99.9-9.9 9917.2 65 15.0 -99-99.9-9.9-9.9
5284220160219 28.0  8.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.8 59  9.3 -99-99.9-9.9-9.9
5284220160220 33.5 13.3  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 51 14.3 -99-99.9-9.9-9.9
5284220160221 37.4 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 9921.4 53 18.5 -99-99.9-9.9-9.9
5284220160222 38.8 20.6  0.009999-99.9-99.9-99.9-99.9-9.9 9925.2 69 21.2 -99-99.9-9.9-9.9
5284220160223 30.4 19.0  0.009999-99.9-99.9-99.9-99.9-9.9 9925.5 85 21.4 -99-99.9-9.9-9.9
5284220160224 24.8 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.1 69 14.2 -99-99.9-9.9-9.9
5284220160225 30.7  9.8  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 52 10.7 -99-99.9-9.9-9.9
5284220160226 22.9 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 44  6.6 -99-99.9-9.9-9.9
5284220160227 25.3  9.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.2 61  8.5 -99-99.9-9.9-9.9
5284220160228 25.2 11.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.8 62 10.5 -99-99.9-9.9-9.9
5284220160229 26.6  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.3 69 12.2 -99-99.9-9.9-9.9
5284220160301 30.5 11.8  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 54 12.5 -99-99.9-9.9-9.9
5284220160302 29.5 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 55 12.5 -99-99.9-9.9-9.9
5284220160303 30.2 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9916.7 64 14.5 -99-99.9-9.9-9.9
5284220160304 25.7 16.4  0.009999-99.9-99.9-99.9-99.9-9.9 9916.7 71 14.6 -99-99.9-9.9-9.9
5284220160305 22.7  9.6  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 64  9.1 -99-99.9-9.9-9.9
5284220160306 31.4  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 9913.2 57 11.0 -99-99.9-9.9-9.9
5284220160307 32.4 14.6  0.009999-99.9-99.9-99.9-99.9-9.9 9917.5 63 15.4 -99-99.9-9.9-9.9
5284220160308 30.8 15.8  0.009999-99.9-99.9-99.9-99.9-9.9 9915.1 59 12.8 -99-99.9-9.9-9.9
5284220160309 19.8  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.1 77  8.4 -99-99.9-9.9-9.9
5284220160310 24.6  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.8 54  6.6 -99-99.9-9.9-9.9
5284220160311 23.0 10.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 57  7.2 -99-99.9-9.9-9.9
5284220160312 27.0  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 52  6.7 -99-99.9-9.9-9.9
5284220160313 31.3 11.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 51 12.5 -99-99.9-9.9-9.9
5284220160314 32.4 16.7  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 63 15.8 -99-99.9-9.9-9.9
5284220160315 33.6 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 72 17.7 -99-99.9-9.9-9.9
5284220160316 32.6 17.7  0.009999-99.9-99.9-99.9-99.9-9.9 9921.3 76 18.5 -99-99.9-9.9-9.9
5284220160317 31.4 19.7  0.009999-99.9-99.9-99.9-99.9-9.9 9918.4 59 15.7 -99-99.9-9.9-9.9
5284220160318 22.7  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 45  2.7 -99-99.9-9.9-9.9
5284220160319 26.7  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 32  0.2 -99-99.9-9.9-9.9
5284220160320 26.8  5.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.5 36  2.8 -99-99.9-9.9-9.9
5284220160321 29.7 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9 51  9.5 -99-99.9-9.9-9.9
5284220160322 30.1  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.6 67 12.6 -99-99.9-9.9-9.9
5284220160323 36.7 12.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.5 53 10.9 -99-99.9-9.9-9.9
5284220160324 22.7  7.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.0 49  3.7 -99-99.9-9.9-9.9
5284220160325 24.0  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 60  7.7 -99-99.9-9.9-9.9
5284220160326 25.4  9.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.8 69 11.6 -99-99.9-9.9-9.9
5284220160327 29.0 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 9915.2 69 13.1 -99-99.9-9.9-9.9
5284220160328 33.7 13.7  0.009999-99.9-99.9-99.9-99.9-9.9 9916.5 62 14.4 -99-99.9-9.9-9.9
5284220160329 35.1 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9915.4 52 13.3 -99-99.9-9.9-9.9
5284220160330 35.9 17.8  0.009999-99.9-99.9-99.9-99.9-9.9 9916.9 48 14.8 -99-99.9-9.9-9.9
5284220160331 27.3 15.2  0.009999-99.9-99.9-99.9-99.9-9.9 9915.0 72 12.9 -99-99.9-9.9-9.9
5284220160401 22.4 12.2  0.009999-99.9-99.9-99.9-99.9-9.9 9913.6 72 11.4 -99-99.9-9.9-9.9
5284220160402 27.1  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 76 10.5 -99-99.9-9.9-9.9
5284220160403 23.5  9.9  0.009999-99.9-99.9-99.9-99.9-9.9 9911.0 58  8.2 -99-99.9-9.9-9.9
5284220160404 18.1  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 85 10.9 -99-99.9-9.9-9.9
5284220160405 23.3  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 82 10.4 -99-99.9-9.9-9.9
