5289820190312-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289820190313 29.2 11.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.8 43  7.1 -99-99.9-9.9-9.9
5289820190314 18.9  5.9  8.019999-99.9-99.9-99.9-99.9-9.9 99 7.4 64  2.6 -99-99.9-9.9-9.9
5289820190315 17.4  6.5  0.519999-99.9-99.9-99.9-99.9-9.9 99 9.3 69  5.9 -99-99.9-9.9-9.9
5289820190316 24.7  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.3 60  5.8 -99-99.9-9.9-9.9
5289820190317 23.0  6.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.1 46  3.9 -99-99.9-9.9-9.9
5289820190318 17.3  3.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.4 40 -1.9 -99-99.9-9.9-9.9
5289820190319 18.6  0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.9 41 -3.0 -99-99.9-9.9-9.9
5289820190320 22.6 -4.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.3 33 -5.0 -99-99.9-9.9-9.9
5289820190321 25.3  6.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 43  1.7 -99-99.9-9.9-9.9
5289820190322 26.0  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.0 50  5.4 -99-99.9-9.9-9.9
5289820190323 21.5 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 40  2.1 -99-99.9-9.9-9.9
5289820190324 23.9 -0.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 42 -0.4 -99-99.9-9.9-9.9
5289820190325 25.7 -1.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 37 -1.1 -99-99.9-9.9-9.9
5289820190326 25.1  1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 37 -0.5 -99-99.9-9.9-9.9
5289820190327 23.4  5.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 52  3.7 -99-99.9-9.9-9.9
5289820190328 30.0  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 42  4.1 -99-99.9-9.9-9.9
5289820190329 28.0  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.9 37  1.5 -99-99.9-9.9-9.9
5289820190330 30.4  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 33  0.8 -99-99.9-9.9-9.9
5289820190331 30.0  2.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.6 35  0.7 -99-99.9-9.9-9.9
5289820190401 30.0  8.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 40  4.0 -99-99.9-9.9-9.9
5289820190402 27.6  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 31  1.1 -99-99.9-9.9-9.9
5289820190403 21.2 -1.2  5.819999-99.9-99.9-99.9-99.9-9.9 99 5.7 49 -1.9 -99-99.9-9.9-9.9
5289820190404 19.1  2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 54  2.5 -99-99.9-9.9-9.9
5289820190405 25.0 -0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 45 -0.2 -99-99.9-9.9-9.9
5289820190406 24.9 10.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 36  1.8 -99-99.9-9.9-9.9
5289820190407 30.9  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 47  5.0 -99-99.9-9.9-9.9
5289820190408 30.0  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 40  0.9 -99-99.9-9.9-9.9
5289820190409 24.6  4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.3 43  2.2 -99-99.9-9.9-9.9
5289820190410 24.0  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 55  2.9 -99-99.9-9.9-9.9
5289820190411 27.2 -0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 44  1.0 -99-99.9-9.9-9.9
5289820190412 20.5  0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 46 -0.3 -99-99.9-9.9-9.9
5289820190413 16.7  1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 49 -0.7 -99-99.9-9.9-9.9
5289820190414 17.4  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.3 45 -2.0 -99-99.9-9.9-9.9
5289820190415 22.0 -5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.5 44 -4.2 -99-99.9-9.9-9.9
5289820190416 23.8 -0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 41 -0.6 -99-99.9-9.9-9.9
5289820190417 22.9  9.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.2 50  3.7 -99-99.9-9.9-9.9
5289820190418 24.8 -3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.2 43 -2.4 -99-99.9-9.9-9.9
5289820190419 21.7  0.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.9 38 -3.3 -99-99.9-9.9-9.9
5289820190420 25.1 -2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.7 35 -4.0 -99-99.9-9.9-9.9
