5291020130824-99.9-99.9 28.819999-99.9-99.9-99.9-99.9-9.9 9910.7100  7.9 -99-99.9-9.9-9.9
5291020130825  9.6  7.2 47.019999-99.9-99.9-99.9-99.9-9.9 9911.0100  8.3 -99-99.9-9.9-9.9
5291020130826  8.7  3.6  6.219999-99.9-99.9-99.9-99.9-9.9 99 8.7100  4.8 -99-99.9-9.9-9.9
5291020130827 13.0  0.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.0 74  1.9 -99-99.9-9.9-9.9
5291020130828 18.0  1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 60  3.2 -99-99.9-9.9-9.9
5291020130829 26.0  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.7 50  6.5 -99-99.9-9.9-9.9
5291020130830 28.5 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 32  6.1 -99-99.9-9.9-9.9
5291020130831 31.1 18.4  0.009999-99.9-99.9-99.9-99.9-9.9 9912.4 37 10.1 -99-99.9-9.9-9.9
5291020130901 30.5 19.8  0.009999-99.9-99.9-99.9-99.9-9.9 9915.6 54 13.4 -99-99.9-9.9-9.9
5291020130902 24.6 14.5  9.519999-99.9-99.9-99.9-99.9-9.9 9916.7 87 14.6 -99-99.9-9.9-9.9
5291020130903 23.8 12.8  0.219999-99.9-99.9-99.9-99.9-9.9 9916.8 82 14.7 -99-99.9-9.9-9.9
5291020130904 21.1  9.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 70  8.8 -99-99.9-9.9-9.9
5291020130905 27.0 10.0  0.009999-99.9-99.9-99.9-99.9-9.9 9916.7 69 14.4 -99-99.9-9.9-9.9
5291020130906 29.2 14.7  0.009999-99.9-99.9-99.9-99.9-9.9 9915.8 55 13.8 -99-99.9-9.9-9.9
5291020130907 30.0 18.5  0.009999-99.9-99.9-99.9-99.9-9.9 9916.4 54 14.4 -99-99.9-9.9-9.9
5291020130908 24.2 16.0 14.819999-99.9-99.9-99.9-99.9-9.9 9917.0 77 14.9 -99-99.9-9.9-9.9
5291020130909 32.2 14.4  0.009999-99.9-99.9-99.9-99.9-9.9 9916.8 56 14.8 -99-99.9-9.9-9.9
5291020130910 32.9 19.5  0.009999-99.9-99.9-99.9-99.9-9.9 9916.7 44 14.7 -99-99.9-9.9-9.9
5291020130911 33.7 21.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 33 10.3 -99-99.9-9.9-9.9
5291020130912 33.1 21.0  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 32 10.3 -99-99.9-9.9-9.9
5291020130913 33.1 21.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 34 10.3 -99-99.9-9.9-9.9
5291020130914 31.9 20.5  0.009999-99.9-99.9-99.9-99.9-9.9 9914.0 43 11.8 -99-99.9-9.9-9.9
5291020130915 24.0 15.2 39.519999-99.9-99.9-99.9-99.9-9.9 9920.1100 17.5 -99-99.9-9.9-9.9
5291020130916 15.3 11.7 12.219999-99.9-99.9-99.9-99.9-9.9 9914.7100 12.7 -99-99.9-9.9-9.9
5291020130917 14.7  5.4  0.219999-99.9-99.9-99.9-99.9-9.9 9910.7 90  7.9 -99-99.9-9.9-9.9
5291020130918 16.8  1.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.9 61  3.5 -99-99.9-9.9-9.9
5291020130919 22.1  5.6 28.219999-99.9-99.9-99.9-99.9-9.9 9910.7 64  7.6 -99-99.9-9.9-9.9
5291020130920 29.6 15.6  7.019999-99.9-99.9-99.9-99.9-9.9 9920.9 88 18.1 -99-99.9-9.9-9.9
5291020130921 18.6 13.0 34.519999-99.9-99.9-99.9-99.9-9.9 9916.6 92 14.6 -99-99.9-9.9-9.9
5291020130922 20.1 14.0  7.219999-99.9-99.9-99.9-99.9-9.9 9917.1100 15.1 -99-99.9-9.9-9.9
5291020130923 17.1 10.5  0.219999-99.9-99.9-99.9-99.9-9.9 9914.3 96 12.2 -99-99.9-9.9-9.9
5291020130924 15.1  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.8 78  5.1 -99-99.9-9.9-9.9
5291020130925 18.9  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.3 71  7.3 -99-99.9-9.9-9.9
5291020130926 25.4  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 52  8.0 -99-99.9-9.9-9.9
5291020130927 24.5 12.0 21.219999-99.9-99.9-99.9-99.9-9.9 9912.7 60 10.4 -99-99.9-9.9-9.9
5291020130928 22.1 13.2 14.219999-99.9-99.9-99.9-99.9-9.9 9916.9 92 14.7 -99-99.9-9.9-9.9
5291020130929 24.0 12.3  0.009999-99.9-99.9-99.9-99.9-9.9 9917.0 85 14.9 -99-99.9-9.9-9.9
