5291120061108-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120061109 17.3  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 83  6.0 -99-99.9-9.9-9.9
5291120061110 21.2  2.1  0.009999-99.9-99.9-99.9-99.9 2.0 1513.0 86 10.1   2  1.411.0 2.1
5291120061111 18.2 12.4 18.019999-99.9-99.9-99.9-99.9-9.9 9918.0100 15.7   2  1.9 1.6-9.9
5291120061112 19.5 16.6-99.999999-99.9-99.9-99.9-99.9-9.9 9919.6100 17.2   3  2.3 1.1-9.9
5291120061113 18.7 14.2-99.999999-99.9-99.9-99.9-99.9-9.9 9918.4100 16.1   2  1.8 3.3-9.9
5291120061114 19.1 13.4 11.019999-99.9-99.9-99.9-99.9-9.9 9918.8100 16.5   1  0.6 2.4-9.9
5291120061115 24.5 17.0 22.219999-99.9-99.9-99.9-99.9-9.9 9924.3100 20.5   1  1.0 2.9-9.9
5291120061116 21.4 11.7-99.999999-99.9-99.9-99.9-99.9-9.9 9917.2100 15.0   4  2.9 1.0-9.9
5291120061117-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120130822-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120130823 19.7  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9914.0100 11.8 -99-99.9-9.9-9.9
5291120130824 12.6  8.3  0.009999-99.9-99.9-99.9-99.9-9.9 9911.9100  9.5 -99-99.9-9.9-9.9
5291120130825 10.3  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6100  9.2 -99-99.9-9.9-9.9
5291120130826 10.3  5.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.9100  6.8 -99-99.9-9.9-9.9
5291120130827 15.7  1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.8 79  3.4 -99-99.9-9.9-9.9
5291120130828 20.6 -1.2  0.519999-99.9-99.9-99.9-99.9-9.9 99 8.6 71  4.5 -99-99.9-9.9-9.9
5291120130829 26.1  3.2  0.009999-99.9-99.9-99.9-99.9-9.9 9910.7 61  7.8 -99-99.9-9.9-9.9
5291120130830 30.4  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.6 48  9.1 -99-99.9-9.9-9.9
5291120130831 33.0 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 45 12.5 -99-99.9-9.9-9.9
5291120130901 31.0 16.7  0.519999-99.9-99.9-99.9-99.9-9.9 9916.7 57 14.6 -99-99.9-9.9-9.9
5291120130902 23.0 16.0  0.009999-99.9-99.9-99.9-99.9-9.9 9918.7100 16.4 -99-99.9-9.9-9.9
5291120130903 27.9 13.0  0.009999-99.9-99.9-99.9-99.9-9.9 9917.9 79 15.7 -99-99.9-9.9-9.9
5291120130904 25.2  8.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.3 64 10.0 -99-99.9-9.9-9.9
5291120130905 29.8  8.8  0.009999-99.9-99.9-99.9-99.9-9.9 9917.3 71 14.8 -99-99.9-9.9-9.9
5291120130906 31.2 15.3  0.009999-99.9-99.9-99.9-99.9-9.9 9917.7 55 15.5 -99-99.9-9.9-9.9
5291120130907 32.2 14.5  0.009999-99.9-99.9-99.9-99.9-9.9 9917.7 59 15.5 -99-99.9-9.9-9.9
5291120130908 22.2 15.8  2.019999-99.9-99.9-99.9-99.9-9.9 9919.3 95 16.9 -99-99.9-9.9-9.9
5291120130909 34.0 13.9  0.219999-99.9-99.9-99.9-99.9-9.9 9918.6 61 16.3 -99-99.9-9.9-9.9
