5292320061107-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320061109-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320061219-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320130828-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292320130829 17.2-11.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.8 61 -2.8   6  4.5-9.9-9.9
5292320130830 16.8 -6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.1 61 -2.0   7  5.3-9.9-9.9
5292320130831 17.7-13.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 61 -3.2   5  3.9-9.9-9.9
5292320130901 17.1-14.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.0 61 -3.2   6  5.1-9.9-9.9
5292320130902 18.6-11.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.8 62 -0.6   7  5.8-9.9-9.9
5292320130903 19.9 -9.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.7 61 -1.4   5  4.0-9.9-9.9
5292320130904 20.3 -6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.9 27-11.9   5  4.0-9.9-9.9
5292320130905 21.5 -9.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.7 19-17.7   4  3.4-9.9-9.9
5292320130906 21.0-11.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.7 13-17.6   6  4.5-9.9-9.9
5292320130907 22.1 -8.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.0 27 -9.9   8  6.1-9.9-9.9
5292320130908 21.4 -3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.4 37 -4.7   7  5.4-9.9-9.9
5292320130909 21.7 -4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.6 32 -8.4   6  4.5-9.9-9.9
5292320130910 23.8-12.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.8 18-16.6   6  4.4-9.9-9.9
5292320130911 22.9 -7.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.2 28 -9.7   6  4.9-9.9-9.9
5292320130912 23.7 -6.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.5 26 -9.3   6  4.6-9.9-9.9
5292320130913 20.6 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.4 49  0.5  11  8.4-9.9-9.9
5292320130914 21.1 -1.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.0 33 -9.8   9  7.3-9.9-9.9
5292320130915 20.0 -4.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.3  9-19.7  18 14.4-9.9-9.9
5292320130916 18.3 -6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.2 10-99.9  18 14.1-9.9-9.9
5292320130917 19.8 -8.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.2  9-99.9  16 12.7-9.9-9.9
5292320130918 20.3  1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 0.7  6-99.9  18 14.4-9.9-9.9
5292320130919 22.9-14.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 0.7  7-99.9  12  9.2-9.9-9.9
5292320130920 21.9 -4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 0.8  6-99.9  16 12.9-9.9-9.9
5292320130921 20.1-13.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.0  8-99.9  15 11.9-9.9-9.9
5292320130922 22.6 -9.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.1 10-99.9  11  8.7-9.9-9.9
5292320130923 23.2-11.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 0.9  8-99.9  16 12.8-9.9-9.9
5292320130924 24.1-11.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 0.9  7-99.9  11  8.9-9.9-9.9
5292320130925 24.7 -7.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.2 10-99.9   9  7.5-9.9-9.9
5292320130926 23.7 -4.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.3 16-13.3   8  6.1-9.9-9.9
5292320130927 23.5 -4.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.7 20-10.9  15 11.9-9.9-9.9
5292320130928 22.2-10.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.6 12-18.1   8  6.3-9.9-9.9
5292320130929 22.8 -3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.0 27-12.8  14 10.8-9.9-9.9
5292320130930 21.6 -9.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.2 10-99.9   8  6.2-9.9-9.9
5292320131001 20.5 -4.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.3 10-99.9  12 10.0-9.9-9.9
5292320131002 21.8-12.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.3 12-19.9  11  8.6-9.9-9.9
5292320131003 20.8 -7.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.7  9-18.6  11  9.0-9.9-9.9
5292320131004 23.1 -4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.7 24-14.5  14 11.2-9.9-9.9
5292320131005 22.7 -4.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.4 29 -9.8  14 10.9-9.9-9.9
5292320131006 22.2 -2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.5 31 -9.2  11  9.0-9.9-9.9
5292320131007 19.1 -3.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.8 33 -8.6   7  5.2-9.9-9.9
5292320131008 22.2 -4.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.5 35 -4.7   8  6.7-9.9-9.9
5292320131009 24.8 -4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.1 30 -7.9   9  7.3-9.9-9.9
