5296820061123-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 92 -1.2 -99-99.9 3.6-9.9
5296820061124  4.2 -6.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.1 93 -2.6  14 11.2 3.7-9.9
5296820061125 -1.9 -9.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.3100 -4.9   9  7.1 2.4-9.9
5296820061126  1.1 -5.3  3.519999-99.9-99.9-99.9-99.9-9.9 99 5.3 96 -2.1  11  9.1 1.3-9.9
5296820061127  2.4  0.4  2.819999-99.9-99.9-99.9-99.9-9.9 99 6.8100  1.4  24 19.5 0.5-9.9
5296820061128  3.3 -2.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 6.1100 -0.0   5  3.9 2.3-9.9
5296820061129  4.1 -3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2100  0.1   8  6.1 2.6-9.9
5296820061130  3.1 -3.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.7 94 -1.1  11  8.6 3.8-9.9
5296820061201  0.0 -6.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.6 96 -3.9   8  6.6 3.3-9.9
5296820061202 -0.2 -3.0  0.219999-99.9-99.9-99.9-99.9-9.9 99 5.5100 -1.6  11  9.2 1.8-9.9
5296820061203 -0.1-11.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.0 96 -5.9  24 19.3 4.1-9.9
5296820061204 -0.1-10.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.4100 -7.9  21 16.5 4.5-9.9
5296820061205 -4.5-10.1  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.6100 -7.3  21 16.8 4.6-9.9
5296820061206 -4.0 -9.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.7100 -6.8  16 12.8 4.4-9.9
5296820061207 -4.9-16.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 3.1100 -9.7  10  8.0 2.9-9.9
5296820061208  2.0 -4.9  7.019999-99.9-99.9-99.9-99.9-9.9 99 6.5100  0.8  11  8.4 1.9-9.9
5296820061209  1.5 -0.6  1.519999-99.9-99.9-99.9-99.9-9.9 99 6.1100 -0.1   2  1.7 1.7-9.9
5296820061210  0.7 -4.4  1.219999-99.9-99.9-99.9-99.9-9.9 99 5.7100 -0.9   0  0.2 3.5-9.9
5296820061211  1.6 -0.6  3.019999-99.9-99.9-99.9-99.9-9.9 99 6.1100 -0.0   1  1.0 3.0-9.9
5296820061212 -0.2 -6.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.9100 -3.1   2  1.3 4.3-9.9
5296820061213 -1.1 -6.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.0100 -2.9   4  2.8 4.2-9.9
5296820061214 -3.5 -9.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.8100 -6.4   0  0.0 4.3-9.9
5296820061215  1.8 -5.6  2.219999-99.9-99.9-99.9-99.9-9.9 99 5.9100 -0.7  12  9.9 3.3-9.9
5296820061216  1.7 -0.1  0.819999-99.9-99.9-99.9-99.9-9.9 99 6.5100  0.8  20 16.2 3.6-9.9
5296820061217  2.2  0.6  1.219999-99.9-99.9-99.9-99.9-9.9 99 6.8100  1.4  22 17.8 2.3-9.9
5296820061218  3.7  1.4  7.819999-99.9-99.9-99.9-99.9-9.9 99 7.3100  2.4   8  6.8 1.5-9.9
5296820061219  3.4  1.1  7.219999-99.9-99.9-99.9-99.9-9.9 99 7.1100  2.1   4  3.4 1.4-9.9
5296820061220-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5296820250513-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5296820250514  8.9  1.2  0.009999-99.9-99.9-99.9-99.9 3.0 34 5.8 59 -0.7  32 25.4 3.422.1
5296820250515  9.7  2.6  0.009999-99.9-99.9-99.9-99.9 5.3 61 5.7 59 -1.0  45 36.1 4.7-9.9
5296820250516  6.5 -1.5  0.009999-99.9-99.9-99.9-99.9 4.0 46 5.5 78 -1.5   8  6.7 3.9 3.3
5296820250517  3.7 -2.5  0.009999-99.9-99.9-99.9-99.9 1.6 19 5.7 96 -1.0  11  8.7 2.5 0.8
5296820250518  4.0 -3.1  0.009999-99.9-99.9-99.9-99.9 4.6 53 5.2 85 -2.2  25 20.4 4.1 4.9
5296820250519  4.4 -1.8  0.009999-99.9-99.9-99.9-99.9 2.0 24 5.1 80 -2.4  25 20.2 2.6 6.6
5296820250520  3.5 -4.5  0.009999-99.9-99.9-99.9-99.9 5.0 59 4.5 78 -4.0   5  3.7 4.2 1.6
5296820250521  4.1 -4.5  0.009999-99.9-99.9-99.9-99.9 4.5 53 5.1 89 -2.5  16 13.1 3.9 2.3
5296820250522  8.9 -7.0  0.009999-99.9-99.9-99.9-99.9 2.6 31 5.7 82 -1.3  15 11.7 2.8 0.8
5296820250523  8.8 -2.2  0.009999-99.9-99.9-99.9-99.9 3.3 40 6.4 87  0.5  13 10.6 3.2 3.3
5296820250524  6.2 -0.9  0.819999-99.9-99.9-99.9-99.9 1.1 13 6.4 86  0.4  18 14.2 2.0 4.3
5296820250525  4.5  0.1  6.019999-99.9-99.9-99.9-99.9-9.9 99 7.1100  2.0   9  7.5 1.1-9.9
5296820250526  4.8 -0.1  0.009999-99.9-99.9-99.9-99.9 3.5 42 7.0 97  1.9  16 12.9 3.1 1.3
5296820250527  4.4 -2.0  0.519999-99.9-99.9-99.9-99.9 5.1 62 6.0 95 -0.4   9  7.4 3.9 0.3
5296820250528  5.7 -1.8  0.009999-99.9-99.9-99.9-99.9 3.8 47 7.0 96  1.8  19 15.5 3.2 0.0
5296820250529  7.1 -0.5  0.219999-99.9-99.9-99.9-99.9 1.1 13 7.1 93  2.1  13 10.6 1.8 1.5
5296820250530  5.2 -1.1  0.219999-99.9-99.9-99.9-99.9 4.9 60 7.0 99  1.8  20 16.3 3.7 0.0
5296820250531  7.1 -0.2  0.009999-99.9-99.9-99.9-99.9 4.3 54 7.0 94  1.8  20 15.9 3.4 1.0
5296820250601  5.3  1.0  0.009999-99.9-99.9-99.9-99.9 3.5 44 6.8 90  1.4  20 15.9 3.0 3.9
5296820250602  7.3 -1.5  0.009999-99.9-99.9-99.9-99.9 0.7  9 5.7 76 -0.9  24 19.4 1.6 7.5
5296820250603  9.0  2.8  0.009999-99.9-99.9-99.9-99.9 2.1 27 6.9 81  1.7  23 18.5 2.2 8.9
5296820250604  5.2  0.0  0.009999-99.9-99.9-99.9-99.9 1.1 14 6.6 87  1.0  25 20.3 1.7 2.6
5296820250605  9.1  1.3  0.009999-99.9-99.9-99.9-99.9 3.8 48 8.6 91  4.7  27 22.0 3.0 4.2
5296820250606 11.7  4.9  0.009999-99.9-99.9-99.9-99.9 3.8 47 9.2 84  5.8  21 17.0 2.9 5.0
5296820250607 11.1  1.9  0.009999-99.9-99.9-99.9-99.9 3.7 47 8.9 93  5.2  11  9.0 2.9 1.3
5296820250608  6.3 -1.0  0.009999-99.9-99.9-99.9-99.9 0.9 12 6.7100  1.3   5  3.9 1.6 0.3
5296820250609  5.6  0.0  0.009999-99.9-99.9-99.9-99.9 1.2 16 7.5100  2.8  19 15.0 1.7 0.0
5296820250610  6.3  3.5  0.009999-99.9-99.9-99.9-99.9 1.4 18 8.5100  4.7  12  9.4 1.8 0.0
5296820250611  7.6  2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9100  5.3  19 15.0 1.2-9.9
5296820250612  6.2  0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.7 94  3.2   7  5.5 1.1-9.9
5296820250613  5.7  0.0  0.009999-99.9-99.9-99.9-99.9 1.2 15 6.6 86  0.9  18 14.7 1.7 4.0
5296820250614  7.8  0.2  0.009999-99.9-99.9-99.9-99.9 2.7 35 6.3 79  0.4  16 12.5 2.4 5.1
5296820250615  4.7  0.2  1.219999-99.9-99.9-99.9-99.9-9.9 99 7.1100  2.0   7  5.5 0.7-9.9
