5296920241113-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5296920241114 21.4  3.8  0.009999-99.9-99.9-99.9-99.9 9.4 63 8.8 52  5.0   7  5.521.811.9
5296920241115 14.5  5.7  0.009999-99.9-99.9-99.9-99.911.9 79 7.1 55  2.0  11  8.625.714.7
5296920241116 15.6  6.7  0.009999-99.9-99.9-99.9-99.911.5 77 6.2 48  0.2  12  9.825.218.0
5296920241117 17.0  7.0  0.009999-99.9-99.9-99.9-99.9 3.9 26 7.1 53  2.0   8  6.713.511.3
5296920241118 23.5 -0.6  0.009999-99.9-99.9-99.9-99.912.6 83 7.2 44  2.3   2  1.826.9 7.6
5296920241119 23.6  6.2  0.009999-99.9-99.9-99.9-99.910.8 72 7.4 39  2.5   6  5.024.313.4
5296920241120 18.9  6.6  0.009999-99.9-99.9-99.9-99.9 8.3 55 7.8 49  3.3   7  5.220.611.8
5296920241121 20.3  2.8  0.009999-99.9-99.9-99.9-99.911.5 76 8.2 49  4.1   5  3.925.6 9.7
5296920241122 20.2  7.1  0.009999-99.9-99.9-99.9-99.9 9.1 59 8.1 48  3.9   6  4.721.811.6
5296920241123 17.4  8.6  0.009999-99.9-99.9-99.9-99.912.6 82 6.4 38  0.5   9  7.527.318.1
5296920241124 16.7  2.2  0.009999-99.9-99.9-99.9-99.9 7.8 51 6.7 47  1.2   4  3.119.8 7.7
5296920241125 18.8  0.2  9.819999-99.9-99.9-99.9-99.9 3.7 24 8.5 55  4.5   2  1.413.5 4.2
5296920241126 13.3  7.6  6.019999-99.9-99.9-99.9-99.9 2.9 1911.1 89  8.4   4  3.212.4 3.1
5296920241127 14.3  7.4  2.819999-99.9-99.9-99.9-99.9 0.7  511.7 86  9.2   1  0.5 9.0 2.0
5296920241128 14.8  8.9  3.219999-99.9-99.9-99.9-99.9 1.5 1011.9 89  9.5   2  1.810.2 2.7
5296920241129 19.5  5.8  0.009999-99.9-99.9-99.9-99.912.6 82 9.0 53  5.4   6  4.827.710.7
5296920241130 19.4  6.0  0.009999-99.9-99.9-99.9-99.911.2 72 8.1 52  3.8   9  6.925.414.4
5296920241201 15.7  4.6  0.009999-99.9-99.9-99.9-99.9 6.5 42 6.2 41  0.0   5  3.918.2 9.1
5296920241202 17.4  3.1  0.009999-99.9-99.9-99.9-99.9 9.2 59 6.6 47  0.9   8  6.322.513.3
5296920241203 17.4  7.6  0.009999-99.9-99.9-99.9-99.9 3.8 25 8.8 56  5.0   9  7.414.011.3
5296920241204 17.5 10.6 12.819999-99.9-99.9-99.9-99.9 2.7 1710.4 74  7.6   4  3.412.3 5.9
5296920241205 11.2  5.1  9.219999-99.9-99.9-99.9-99.9-9.9 99 8.9 96  5.3   6  5.1 4.4-9.9
5296920241206 15.1  3.8  0.009999-99.9-99.9-99.9-99.911.9 76 7.9 61  3.6   3  2.626.9 6.5
5296920241207 19.8  3.9  0.009999-99.9-99.9-99.9-99.912.0 77 7.8 47  3.3   5  4.327.010.6
5296920241208 19.2  4.0  0.009999-99.9-99.9-99.9-99.912.1 77 7.5 45  2.7   4  2.827.2 9.2
5296920241209 19.0  7.8  0.009999-99.9-99.9-99.9-99.911.4 73 7.6 46  3.0   7  5.426.213.0
5296920241210 19.8 10.0  0.009999-99.9-99.9-99.9-99.9 4.6 30 9.4 58  6.1   4  3.315.4 7.4
5296920241211 20.8  6.4  0.009999-99.9-99.9-99.9-99.913.5 86 8.8 46  5.1   7  5.629.413.5
5296920241212 20.3  9.8  0.009999-99.9-99.9-99.9-99.911.7 74 9.0 52  5.4   9  7.526.716.5
5296920241213 19.1  8.4  0.009999-99.9-99.9-99.9-99.913.1 83 8.1 47  3.9   7  6.028.814.4
5296920241214 21.2 10.5  0.009999-99.9-99.9-99.9-99.913.0 83 9.3 51  5.8   9  7.528.816.9
5296920241215 27.4  8.7  0.009999-99.9-99.9-99.9-99.913.4 8510.0 44  7.0   4  3.129.311.8
5296920241216 33.4  7.2  0.009999-99.9-99.9-99.9-99.911.3 7211.4 38  8.8   1  1.126.1 8.3
5296920241217 25.5 13.0  0.009999-99.9-99.9-99.9-99.9 7.7 4910.8 46  7.8  10  7.720.319.3
5296920241218 17.1  8.8  0.009999-99.9-99.9-99.9-99.912.8 81 6.5 46  0.7  15 12.228.4-9.9
5296920241219 17.5  8.5  0.219999-99.9-99.9-99.9-99.9 3.2 20 7.2 47  2.1   9  7.213.312.3
5296920241220 16.9  7.6  0.009999-99.9-99.9-99.9-99.912.0 76 6.5 44  0.9  10  8.127.217.2
5296920241221 21.3  8.0  0.009999-99.9-99.9-99.9-99.913.3 84 7.6 44  2.9   5  4.429.212.9
5296920241222 21.9 10.8  0.009999-99.9-99.9-99.9-99.9 8.7 5510.5 56  7.6   8  6.322.013.3
5296920241223 22.5 12.4  0.009999-99.9-99.9-99.9-99.913.3 84 9.0 45  5.5   9  6.929.318.3
5296920241224 25.4  8.8  0.009999-99.9-99.9-99.9-99.912.7 80 9.1 42  5.6   5  4.128.213.1
5296920241225 31.6  6.2  0.009999-99.9-99.9-99.9-99.913.5 86 9.8 35  6.6   3  2.029.510.8
5296920241226 26.0 10.6  0.009999-99.9-99.9-99.9-99.9 7.0 4410.0 42  6.8   7  5.319.315.0
5296920241227 26.1  4.4  0.009999-99.9-99.9-99.9-99.914.0 89 6.9 31  1.4   2  1.630.3 9.6
5296920241228 28.7 10.8  0.009999-99.9-99.9-99.9-99.911.4 72 8.9 36  5.2   3  2.526.211.2
5296920241229 29.6  8.2  0.009999-99.9-99.9-99.9-99.913.0 83 9.4 34  6.0   3  2.528.711.5
5296920241230 21.6 11.5  1.819999-99.9-99.9-99.9-99.9 5.9 38 8.8 45  4.9   7  5.417.514.3
5296920241231 15.1  8.0  0.819999-99.9-99.9-99.9-99.9-9.9 9910.9 75  8.0   4  3.6 2.1-9.9
5296920250101 21.9 10.5  0.009999-99.9-99.9-99.9-99.910.1 6410.6 53  7.8   5  4.324.110.6
5296920250102 24.5 13.3  0.009999-99.9-99.9-99.9-99.912.5 8011.6 53  9.1   6  4.927.913.4
5296920250103 28.2  8.2  0.009999-99.9-99.9-99.9-99.912.5 8010.5 42  7.6   3  2.427.810.3
