5011419560401-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 58  5.6   9  7.2-9.9-9.9
5011419560402-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.3 55  5.9   9  7.2-9.9-9.9
5011419560403-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.2 63  8.6   9  7.2-9.9-9.9
5011419560404-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.3 61  8.8   9  7.2-9.9-9.9
5011419560405-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5011419560406-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.2 76 12.2  11  8.8-9.9-9.9
5011419560407-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.4 65  8.9   9  7.2-9.9-9.9
5011419560408-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.6 62  9.2   7  5.6-9.9-9.9
5011419560409-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.5 58  6.2  31 24.8-9.9-9.9
5011419560410-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 70  1.3  28 22.4-9.9-9.9
5011419560411-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 60 -0.2   6  4.8-9.9-9.9
5011419560412-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 55  1.7   4  3.2-9.9-9.9
5011419560413-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.2 62  4.1   7  5.6-9.9-9.9
5011419560414-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 63  5.4   4  3.2-9.9-9.9
5011419560415-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 63  6.7   9  7.2-9.9-9.9
5011419560416-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.7 63  6.5  13 10.4-9.9-9.9
5011419560417-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 66  8.0  13 10.4-9.9-9.9
5011419560418-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.0 76  9.7  13 10.4-9.9-9.9
