5042119610601-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 95  7.4   7  5.6-9.9-9.9
5042119610602-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9917.8 98 15.7   9  7.2-9.9-9.9
5042119610603-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9917.8 98 15.7   7  5.6-9.9-9.9
5042119610604-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.0 96 13.0   6  4.8-9.9-9.9
5042119610605-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   4  3.2-9.9-9.9
5042119610606-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.3 96 11.2  11  8.8-9.9-9.9
5042119610607-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.3 98 14.3  11  8.8-9.9-9.9
5042119610608-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 99  6.7  13 10.4-9.9-9.9
5042119610609-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.4 97  4.5   6  4.8-9.9-9.9
5042119610610-99.9-99.9  0.009910-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5042119610611-99.9-99.9  0.009910-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   4  3.2-9.9-9.9
5042119610612-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   7  5.6-9.9-9.9
5042119610613-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5042119610614-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9   6  4.8-9.9-9.9
5042119610615-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 97  6.8   6  4.8-9.9-9.9
5042119610616-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.2 84  7.3   4  3.2-9.9-9.9
5042119610617-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.6 98 10.4   6  4.8-9.9-9.9
5042119610618-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.8 96  9.4   4  3.2-9.9-9.9
5042119610619-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.2 98 11.1   8  6.4-9.9-9.9
