5012919610101-99.9 11.3  0.009900-99.9-99.9-99.9-99.9 7.2 51 2.6 16-11.2  37 29.620.5-9.9
5012919610102-99.9  9.7  0.009900-99.9-99.9-99.9-99.9 9.2 65 3.1 19 -9.0  30 24.024.0-9.9
5012919610103-99.9  9.7  0.009900-99.9-99.9-99.9-99.910.5 74 1.7 11-16.4  31 24.826.2-9.9
5012919610104-99.9 10.6  0.009900-99.9-99.9-99.9-99.9 6.6 46 2.9 19 -9.8  34 27.219.5-9.9
5012919610105-99.9  8.5  0.009900-99.9-99.9-99.9-99.9 9.3 66 3.1 23 -9.0  33 26.424.1-9.9
5012919610106-99.9  2.5  0.009900-99.9-99.9-99.9-99.910.5 74 2.6 17-11.2  23 18.426.2-9.9
5012919610107-99.9  6.1  0.009900-99.9-99.9-99.9-99.9 7.2 51 2.4 15-12.2  37 29.620.5-9.9
5012919610108-99.9  9.7  0.009900-99.9-99.9-99.9-99.9 7.0 49 2.3 14-12.7  24 19.220.1-9.9
5012919610109-99.9  7.5  0.009900-99.9-99.9-99.9-99.9 7.2 51 2.3 23-12.7  36 28.820.4-9.9
5012919610110-99.9  0.7  0.009900-99.9-99.9-99.9-99.910.3 73 1.1  6-21.5  19 15.225.8-9.9
5012919610111-99.9  5.5  0.009900-99.9-99.9-99.9-99.911.0 78 1.7  9-16.4  26 20.827.0-9.9
5012919610112-99.9 12.0  0.009900-99.9-99.9-99.9-99.9 9.1 65 1.2-99-20.5  24 19.223.7-9.9
5012919610113-99.9  7.0  0.009900-99.9-99.9-99.9-99.910.6 75 1.5-99-17.9  28 22.426.2-9.9
5012919610114-99.9  6.1  0.009900-99.9-99.9-99.9-99.910.6 75 1.3  7-19.5  24 19.226.2-9.9
5012919610115-99.9 10.0  0.009900-99.9-99.9-99.9-99.911.0 78-9.9-99-99.9  28 22.426.9-9.9
5012919610116-99.9 10.0  0.009900-99.9-99.9-99.9-99.910.8 77 1.6 10-17.1  31 24.826.5-9.9
5012919610117-99.9  2.7  0.009900-99.9-99.9-99.9-99.910.6 76 1.9 11-15.0  26 20.826.1-9.9
