5013719610111 28.4 10.5  0.009900 10.1-99.9-99.9-99.9-9.9 9917.7 54 15.6   4  3.2-9.9-9.9
5013719610112 33.7 12.5  0.009900-99.9-99.9-99.9-99.9-9.9 9925.0 63 21.1   7  5.6-9.9-9.9
5013719610113 32.3 24.3 64.519900 22.0-99.9-99.9-99.9-9.9 9928.0 83 23.0  11  8.8-9.9-9.9
5013719610114 27.0 18.5  7.619900 18.5-99.9-99.9-99.9-9.9 9926.5 83 22.0   1  0.8-9.9-9.9
5013719610115 29.8 21.7  6.519900 22.3-99.9-99.9-99.9-9.9 9927.0 85 22.4   2  1.6-9.9-9.9
5013719610116 28.0 20.5  2.019900 19.2-99.9-99.9-99.9-9.9 9928.9 91 23.5   7  5.6-9.9-9.9
5013719610117 26.1 18.4  0.009900 18.0-99.9-99.9-99.9-9.9 9913.4 54 11.3   4  3.2-9.9-9.9
5013719610118 29.1 14.2  0.009900 12.2-99.9-99.9-99.9-9.9 9924.2 75 20.6   6  4.8-9.9-9.9
5013719610119 33.8 22.9  0.009900 22.0-99.9-99.9-99.9-9.9 9933.1 78 25.7   7  5.6-9.9-9.9
5013719610120 36.3 25.0  6.519900 24.0-99.9-99.9-99.9-9.9 9932.3 75 25.3   4  3.2-9.9-9.9
5013719610121 27.3 17.0  0.009900 18.0-99.9-99.9-99.9-9.9 9921.1 88 18.4   6  4.8-9.9-9.9
5013719610122 30.1 16.3  0.009900 15.9-99.9-99.9-99.9-9.9 9923.5 68 20.1   7  5.6-9.9-9.9
5013719610123 33.0 19.5 31.019900 18.1-99.9-99.9-99.9-9.9 9928.6 74 23.3   6  4.8-9.9-9.9
5013719610124 27.5-99.9  1.019900-99.9-99.9-99.9-99.9-9.9 9919.3 88 16.9   4  3.2-9.9-9.9
5013719610125 23.7 14.2  0.009900 13.4-99.9-99.9-99.9-9.9 9916.1 76 14.1   6  4.8-9.9-9.9
5013719610126 25.0 12.0  0.009900 10.6-99.9-99.9-99.9-9.9 9917.7 74 15.6   4  3.2-9.9-9.9
5013719610127 26.6 13.0  0.009900 10.0-99.9-99.9-99.9-9.9 9917.7 66 15.6   4  3.2-9.9-9.9
5013719610128 29.1 17.5  0.009900-99.9-99.9-99.9-99.9-9.9 9919.9 67 17.4   6  4.8-9.9-9.9
5013719610129 32.3 16.4  0.009900 16.0-99.9-99.9-99.9-9.9 9923.9 72 20.4   4  3.2-9.9-9.9
5013719610130 34.0 18.5 18.019900 12.9-99.9-99.9-99.9-9.9 9925.5 70 21.4   7  5.6-9.9-9.9
5013719610131 29.5 18.5  0.009900 18.5-99.9-99.9-99.9-9.9 9921.9 90 19.0   9  7.2-9.9-9.9
5013719610201-99.9 17.5  0.009900 18.0-99.9-99.9-99.9-9.9 9919.9 81 17.4   6  4.8-9.9-9.9
5013719610202-99.9 14.3  0.009900 13.0-99.9-99.9-99.9-9.9 9917.0 73 15.0   2  1.6-9.9-9.9
5013719610203-99.9 16.8  0.009900 14.5-99.9-99.9-99.9-9.9 9922.2 69 19.2   2  1.6-9.9-9.9
5013719610204-99.9 18.5  0.009900 15.9-99.9-99.9-99.9-9.9 9921.4 64 18.6   2  1.6-9.9-9.9
5013719610205-99.9 11.5  0.009900 13.5-99.9-99.9-99.9-9.9 9921.3 64 18.5   1  0.8-9.9-9.9
5013719610206-99.9 19.5  0.009900 15.4-99.9-99.9-99.9-9.9 9923.7 78 20.2   6  4.8-9.9-9.9
5013719610207-99.9 18.0  0.009900 16.0-99.9-99.9-99.9-9.9 9919.7 73 17.3   4  3.2-9.9-9.9
5013719610208-99.9 13.6  0.009900 10.9-99.9-99.9-99.9-9.9 9917.7 70 15.6   4  3.2-9.9-9.9
5013719610209-99.9 16.0 19.019900 13.5-99.9-99.9-99.9-9.9 9919.5 53 17.1   4  3.2-9.9-9.9
5013719610210-99.9 19.0  0.009900 19.0-99.9-99.9-99.9-9.9 9924.4 83 20.7   4  3.2-9.9-9.9
5013719610211-99.9 18.0  0.009900 15.0-99.9-99.9-99.9-9.9 9923.2 69 19.9   4  3.2-9.9-9.9
5013719610212-99.9 20.0  0.009900 17.0-99.9-99.9-99.9-9.9 9921.5 59 18.7   8  6.4-9.9-9.9
5013719610213-99.9 15.0  0.009900 13.0-99.9-99.9-99.9-9.9 9918.1 71 15.9   4  3.2-9.9-9.9
5013719610214-99.9 14.5  0.009900 13.0-99.9-99.9-99.9-9.9 9918.0 76 15.8   6  4.8-9.9-9.9
5013719610215-99.9 16.5  0.009900 12.5-99.9-99.9-99.9-9.9 9919.5 76 17.1   1  0.8-9.9-9.9
5013719610216-99.9 19.0  0.009900 17.9-99.9-99.9-99.9-9.9 9921.5 65 18.7   2  1.6-9.9-9.9
5013719610217-99.9 19.2 41.019900 17.0-99.9-99.9-99.9-9.9 9924.7 85 20.9   1  0.8-9.9-9.9
5013719610218-99.9 19.0 19.019900 18.5-99.9-99.9-99.9-9.9 9924.5 85 20.8   2  1.6-9.9-9.9
5013719610219-99.9 14.0  0.009900 18.0-99.9-99.9-99.9-9.9 9926.2 81 21.9   1  0.8-9.9-9.9
5013719610220-99.9 14.0  0.009900 17.0-99.9-99.9-99.9-9.9 9925.4 66 21.4   1  0.8-9.9-9.9
5013719610221-99.9 20.5  1.419900 17.5-99.9-99.9-99.9-9.9 9926.2 67 21.9   4  3.2-9.9-9.9
5013719610222-99.9 19.0  0.009900 19.0-99.9-99.9-99.9-9.9 9920.8 81 18.1   6  4.8-9.9-9.9
5013719610223-99.9 16.3  0.009900 14.5-99.9-99.9-99.9-9.9 9920.2 68 17.7   6  4.8-9.9-9.9
5013719610224-99.9 16.0  0.009900 15.0-99.9-99.9-99.9-9.9 9924.9 80 21.0   7  5.6-9.9-9.9
5013719610225-99.9 18.6  2.019900 19.0-99.9-99.9-99.9-9.9 9920.1 75 17.6   7  5.6-9.9-9.9
5013719610226-99.9 12.0  0.009900 12.7-99.9-99.9-99.9-9.9 9912.4 57 10.1  13 10.4-9.9-9.9
5013719610227-99.9 13.5  0.009900 14.0-99.9-99.9-99.9-9.9 9915.1 71 13.1   4  3.2-9.9-9.9
5013719610228-99.9 15.0  0.009900 14.5-99.9-99.9-99.9-9.9 9917.7 73 15.6   7  5.6-9.9-9.9
5013719610301-99.9 12.3  0.009900 11.8-99.9-99.9-99.9-9.9 9917.4 54 15.3   6  4.8-9.9-9.9
5013719610302-99.9 18.0  0.009900 16.1-99.9-99.9-99.9-9.9 9927.0 71 22.4   8  6.4-9.9-9.9
5013719610303-99.9 19.0  6.019900 14.7-99.9-99.9-99.9-9.9 9923.6 82 20.2   6  4.8-9.9-9.9
5013719610304-99.9 16.2  2.519900 14.7-99.9-99.9-99.9-9.9 9920.3 78 17.7  11  8.8-9.9-9.9
5013719610305-99.9 12.5  0.009900 13.0-99.9-99.9-99.9-9.9 9911.9 63  9.5   7  5.6-9.9-9.9
5013719610306-99.9  8.6  0.009900  6.4-99.9-99.9-99.9-9.9 9911.7 74  9.3   4  3.2-9.9-9.9
5013719610307-99.9 10.1  0.009900-99.9-99.9-99.9-99.9-9.9 9917.2 66 15.1   4  3.2-9.9-9.9
5013719610308-99.9 17.5  0.009900-99.9-99.9-99.9-99.9-9.9 9922.0 72 19.0   6  4.8-9.9-9.9
5013719610309-99.9 18.6  0.009900 17.0-99.9-99.9-99.9-9.9 9922.0 66 19.0   2  1.6-9.9-9.9
5013719610310-99.9 19.2 36.519900 20.0-99.9-99.9-99.9-9.9 9926.7 90 22.2   6  4.8-9.9-9.9
5013719610311-99.9 17.0 34.019900 16.0-99.9-99.9-99.9-9.9 9923.6 84 20.2   2  1.6-9.9-9.9
5013719610312-99.9 17.7  0.009900 16.8-99.9-99.9-99.9-9.9 9919.3 81 16.9   7  5.6-9.9-9.9
5013719610313-99.9 13.0  0.009900 11.0-99.9-99.9-99.9-9.9 9917.3 64 15.2   3  2.4-9.9-9.9
5013719610314-99.9 16.1  3.019900 13.8-99.9-99.9-99.9-9.9 9920.7 72 18.1   4  3.2-9.9-9.9
5013719610315-99.9 17.9 55.019900 17.5-99.9-99.9-99.9-9.9 9921.1 88 18.4   6  4.8-9.9-9.9
5013719610316-99.9 11.0  1.019900 13.0-99.9-99.9-99.9-9.9 9912.8 80 10.6   9  7.2-9.9-9.9
5013719610317-99.9  7.7  0.009900  5.9-99.9-99.9-99.9-9.9 9912.1 63  9.8   6  4.8-9.9-9.9
5013719610318-99.9 11.8  0.009900  8.8-99.9-99.9-99.9-9.9 9912.8 60 10.6   4  3.2-9.9-9.9
5013719610319-99.9 11.5  0.009900  9.4-99.9-99.9-99.9-9.9 9915.4 69 13.4   9  7.2-9.9-9.9
5013719610320-99.9 11.9  0.009900  9.5-99.9-99.9-99.9-9.9 9916.7 73 14.7   2  1.6-9.9-9.9
5013719610321-99.9 11.9  0.009900 12.0-99.9-99.9-99.9-9.9 9917.4 68 15.3   6  4.8-9.9-9.9
5013719610322-99.9 14.0  0.009900 11.5-99.9-99.9-99.9-9.9 9920.8 71 18.1   6  4.8-9.9-9.9
5013719610323-99.9 19.9 10.019900 17.5-99.9-99.9-99.9-9.9 9926.6 76 22.1   7  5.6-9.9-9.9
5013719610324-99.9 18.5 28.519900 17.5-99.9-99.9-99.9-9.9 9922.7 91 19.5   4  3.2-9.9-9.9
5013719610325-99.9 17.6  0.009900 16.5-99.9-99.9-99.9-9.9 9921.3 80 18.5   9  7.2-9.9-9.9
5013719610326-99.9 10.8  0.009900 10.0-99.9-99.9-99.9-9.9 9912.0 67  9.7   9  7.2-9.9-9.9
5013719610327-99.9  8.5  0.009900  6.0-99.9-99.9-99.9-9.9 9914.4 75 12.4   6  4.8-9.9-9.9
5013719610328-99.9 11.4  0.009900  8.7-99.9-99.9-99.9-9.9 9917.2 74 15.1   9  7.2-9.9-9.9
5013719610329-99.9 16.0  0.009900 13.9-99.9-99.9-99.9-9.9 9922.9 82 19.7   6  4.8-9.9-9.9
5013719610330-99.9 18.7135.019900 18.2-99.9-99.9-99.9-9.9 9924.1 83 20.5   4  3.2-9.9-9.9
5013719610331-99.9 17.0 39.019900 17.5-99.9-99.9-99.9-9.9 9920.4 98 17.8   4  3.2-9.9-9.9
5013719610401-99.9 11.1  0.009900  9.4-99.9-99.9-99.9-9.9 9912.4 65 10.1   4  3.2-9.9-9.9
5013719610402-99.9 11.5 22.519900-99.9-99.9-99.9-99.9-9.9 9915.6 72 13.6 -99-99.9-9.9-9.9
5013719610403-99.9 14.5 30.019900 14.5-99.9-99.9-99.9-9.9 9916.4 77 14.4   2  1.6-9.9-9.9
5013719610404-99.9  9.7  0.009900  9.9-99.9-99.9-99.9-9.9 9912.7 78 10.5   6  4.8-9.9-9.9
5013719610405-99.9  9.8  0.009900  7.5-99.9-99.9-99.9-9.9 9913.2 80 11.1   7  5.6-9.9-9.9
5013719610406-99.9  5.2  0.009900  3.2-99.9-99.9-99.9-9.9 99 9.0 60  5.4   7  5.6-9.9-9.9
5013719610407-99.9  8.5 18.519900  6.0-99.9-99.9-99.9-9.9 9915.4 82 13.4   2  1.6-9.9-9.9
5013719610408-99.9 15.0  0.009900 15.0-99.9-99.9-99.9-9.9 9918.6 83 16.4   6  4.8-9.9-9.9
5013719610409-99.9  9.6  0.009900  6.5-99.9-99.9-99.9-9.9 9913.3 67 11.2   4  3.2-9.9-9.9
5013719610410-99.9 13.0 16.019900 10.0-99.9-99.9-99.9-9.9 9919.7 91 17.3   4  3.2-9.9-9.9
5013719610411-99.9 12.2  0.009900 11.0-99.9-99.9-99.9-9.9 9916.2 82 14.2   4  3.2-9.9-9.9
5013719610412-99.9 10.0  0.009900  9.5-99.9-99.9-99.9-9.9 9915.8 80 13.8   2  1.6-9.9-9.9
5013719610413-99.9 10.0  0.009900  7.8-99.9-99.9-99.9-9.9 9915.4 77 13.4   2  1.6-9.9-9.9
5013719610414-99.9 12.0  0.009900  8.9-99.9-99.9-99.9-9.9 9916.3 77 14.3   2  1.6-9.9-9.9
5013719610415-99.9 11.5  0.009900  8.9-99.9-99.9-99.9-9.9 9917.2 83 15.1   6  4.8-9.9-9.9
5013719610416-99.9 14.2  0.009900 10.6-99.9-99.9-99.9-9.9 9921.1 89 18.4   1  0.8-9.9-9.9
5013719610417-99.9 12.1  0.009900 12.5-99.9-99.9-99.9-9.9 9920.2 79 17.7   2  1.6-9.9-9.9
