5014819390823 26.6  1.4  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390824 26.5  1.0  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390825 29.0  6.2  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390826 32.0 15.4  0.009900 17.2-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390827 12.9  7.5  0.009900  7.4-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390828 10.1  5.2  0.009900  5.1-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390829 10.3  5.2  5.419900  5.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390830 14.1  5.6  0.009900  6.6-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390831 16.6  0.2  0.009900  4.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390901 15.1  2.0  1.019900  2.3-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390902 12.6  9.5 18.319900  9.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390903 19.5 10.0  3.319900  9.2-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390904 19.6  6.6  0.009900  6.2-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390905 25.4 14.5  0.009900  7.2-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390906 27.7  8.6  0.009900  8.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390907 16.3  2.7  0.009900  2.2-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390908 18.7  2.2  0.009900  2.1-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390909 25.0  6.6 22.719900  5.2-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390910 19.2  8.7 35.719910  8.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390911 19.4  5.3  0.009900  5.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390912 21.7  5.0  0.009900  4.6-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390913 22.0  8.5 14.119900  8.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390914 17.4  8.0  7.219900  8.1-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390915 11.8  7.7  0.819900  7.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390916 12.0  9.3 35.119900  9.4-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390917 14.1  7.9  0.009900  8.3-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390918 18.6  2.5  0.009900  1.2-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390919 26.9  5.6  0.009900  5.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390920 23.4  8.4  0.009900  8.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390921 22.8 11.3  0.009900 11.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390922 20.2  9.0  0.009900  8.4-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390923 18.0  8.1  0.009900  8.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390924 15.4 10.0  1.019900 10.3-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390925 16.8  9.2 29.719900  9.5-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390926 18.5 12.4  0.009900 13.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390927 15.9  8.1  0.009900  7.3-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390928 14.4  9.6  4.419900 11.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390929 18.0  9.8  0.009900  8.7-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819390930 16.1 11.4  0.009900 11.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819391001 20.1  7.4  2.419900  6.1-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819391002 21.8  6.0  0.009900  5.8-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819391003 19.4  8.6  7.619900  8.0-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819391004 15.8  9.9  0.009900 10.2-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819391005 22.5  8.4  0.009900  7.4-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014819391006 26.8 11.1  0.009900 10.6-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
