5018619680101 27.4 11.5  0.009900-99.9-99.9-99.9-99.9-9.9 9913.8 66 11.8   6  4.8-9.9-9.9
5018619680102 21.3  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 9910.6 54  7.8   7  5.6-9.9-9.9
5018619680103 25.4  7.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.1 51  9.8   4  3.2-9.9-9.9
5018619680104 29.7  9.7  0.009900-99.9-99.9-99.9-99.9-9.9 9913.9 66 11.9   4  3.2-9.9-9.9
5018619680105 32.9 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.6 51 12.6   4  3.2-9.9-9.9
5018619680106 34.0 17.3  0.009900-99.9-99.9-99.9-99.9-9.9 9912.7 47 10.5   4  3.2-9.9-9.9
5018619680107 34.2 20.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.8 41 12.8   4  3.2-9.9-9.9
5018619680108 27.3 19.5  3.219900-99.9-99.9-99.9-99.9-9.9 9919.4 75 17.0   4  3.2-9.9-9.9
5018619680109 34.4 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 9917.1 56 15.0   4  3.2-9.9-9.9
5018619680110 31.7 12.7  0.419900-99.9-99.9-99.9-99.9-9.9 9915.9 74 13.9  11  8.8-9.9-9.9
5018619680111 29.9 11.3  0.009900-99.9-99.9-99.9-99.9-9.9 9913.9 56 11.9   4  3.2-9.9-9.9
5018619680112 31.4 14.4  0.009900-99.9-99.9-99.9-99.9-9.9 9915.2 55 13.2   4  3.2-9.9-9.9
5018619680113 31.7 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.9 55 12.9   4  3.2-9.9-9.9
5018619680114 32.3 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.2 44  9.9   6  4.8-9.9-9.9
5018619680115 29.3 13.6  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 40  8.0   7  5.6-9.9-9.9
5018619680116 35.4 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 9913.4 38 11.3  14 11.2-9.9-9.9
5018619680117 32.0 13.6  0.009900-99.9-99.9-99.9-99.9-9.9 9913.9 46 11.9   4  3.2-9.9-9.9
5018619680118 33.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.7 43 12.7  11  8.8-9.9-9.9
5018619680119 35.7 16.5  8.319900-99.9-99.9-99.9-99.9-9.9 9918.4 59 16.2   7  5.6-9.9-9.9
5018619680120 28.4 18.0  4.419900-99.9-99.9-99.9-99.9-9.9 9920.8 75 18.1   4  3.2-9.9-9.9
5018619680121 28.4 16.0  4.019900-99.9-99.9-99.9-99.9-9.9 9912.4 47 10.1  13 10.4-9.9-9.9
5018619680122 23.9 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 9915.3 70 13.3   4  3.2-9.9-9.9
5018619680123 30.0 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9915.7 55 13.7   4  3.2-9.9-9.9
5018619680124 30.7 16.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.4 64 12.4   9  7.2-9.9-9.9
5018619680125 31.7 13.0 10.619900-99.9-99.9-99.9-99.9-9.9 9922.1 73 19.1   8  6.4-9.9-9.9
5018619680126 31.7 17.5  0.009900-99.9-99.9-99.9-99.9-9.9 9919.4 66 17.0   4  3.2-9.9-9.9
5018619680127 34.5 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9920.3 56 17.7   4  3.2-9.9-9.9
5018619680128 35.3-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9920.5 58 17.9   7  5.6-9.9-9.9
5018619680129 25.1 11.6  0.009900-99.9-99.9-99.9-99.9-9.9 9914.0 62 12.0  11  8.8-9.9-9.9
5018619680130 25.1 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9911.4 51  8.9  11  8.8-9.9-9.9
5018619680131 28.4  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 9912.7 48 10.5   6  4.8-9.9-9.9
5018619680201 29.4 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.4 52 12.4   9  7.2-9.9-9.9
5018619680202 32.7 12.6  0.009900-99.9-99.9-99.9-99.9-9.9 9918.0 53 15.8  11  8.8-9.9-9.9
5018619680203 35.7 18.4 13.419900-99.9-99.9-99.9-99.9-9.9 9921.1 58 18.4   4  3.2-9.9-9.9
5018619680204 35.4 20.3  4.019900-99.9-99.9-99.9-99.9-9.9 9922.3 58 19.2   6  4.8-9.9-9.9
5018619680205 31.9 17.8  9.019900-99.9-99.9-99.9-99.9-9.9 9923.2 71 19.9   4  3.2-9.9-9.9
5018619680206 29.3 19.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.6 51 14.6   2  1.6-9.9-9.9
5018619680207 29.3 13.4  7.019900-99.9-99.9-99.9-99.9-9.9 9917.1 60 15.0  11  8.8-9.9-9.9
5018619680208 22.7 19.5133.319900-99.9-99.9-99.9-99.9-9.9 9923.4 94 20.0   7  5.6-9.9-9.9
5018619680209 26.7 18.1  0.009900-99.9-99.9-99.9-99.9-9.9 9922.9 88 19.7   4  3.2-9.9-9.9
5018619680210 30.1 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 9919.8 70 17.3   4  3.2-9.9-9.9
5018619680211 24.7 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 9917.8 69 15.7   6  4.8-9.9-9.9
5018619680212 25.1 13.4  0.009900-99.9-99.9-99.9-99.9-9.9 9914.4 64 12.4   4  3.2-9.9-9.9
5018619680213 24.7 15.6  8.019900-99.9-99.9-99.9-99.9-9.9 9916.0 77 14.0   6  4.8-9.9-9.9
5018619680214 23.0 10.5  0.009900-99.9-99.9-99.9-99.9-9.9 9912.5 62 10.3   2  1.6-9.9-9.9
5018619680215 28.4 11.6  0.009900  9.3-99.9-99.9-99.9-9.9 9914.9 56 12.9   6  4.8-9.9-9.9
5018619680216 33.0 17.3  0.009900 16.0-99.9-99.9-99.9-9.9 9917.6 56 15.5   7  5.6-9.9-9.9
5018619680217 33.4 18.6  0.009900 17.0-99.9-99.9-99.9-9.9 9920.5 57 17.9   4  3.2-9.9-9.9
5018619680218 33.0 17.4  0.009900 16.0-99.9-99.9-99.9-9.9 9920.2 65 17.7   9  7.2-9.9-9.9
5018619680219 33.4 17.5  0.009900 16.3-99.9-99.9-99.9-9.9 9921.4 63 18.6   7  5.6-9.9-9.9
5018619680220 28.4 21.4  0.619900 20.2-99.9-99.9-99.9-9.9 9923.8 81 20.3   4  3.2-9.9-9.9
5018619680221 29.8 17.6  3.819900 15.2-99.9-99.9-99.9-9.9 9921.4 80 18.6   4  3.2-9.9-9.9
5018619680222 24.0  9.7  0.009900  7.7-99.9-99.9-99.9-9.9 99 9.9 52  6.8   6  4.8-9.9-9.9
5018619680223 23.0  7.4  0.009900  7.4-99.9-99.9-99.9-9.9 9911.5 70  9.0   4  3.2-9.9-9.9
5018619680224 25.4 10.8  0.009900  7.4-99.9-99.9-99.9-9.9 9912.9 62 10.7   4  3.2-9.9-9.9
5018619680225 28.1 14.0  0.009900 11.5-99.9-99.9-99.9-9.9 9915.5 62 13.5   4  3.2-9.9-9.9
5018619680226 29.7 13.7  0.009900 11.1-99.9-99.9-99.9-9.9 9916.6 60 14.6   4  3.2-9.9-9.9
5018619680227 25.0 17.0  0.009900 15.5-99.9-99.9-99.9-9.9 9915.4 65 13.4   9  7.2-9.9-9.9
5018619680228 24.4  7.4  0.009900  6.1-99.9-99.9-99.9-9.9 9913.1 65 11.0   4  3.2-9.9-9.9
5018619680229 29.7 12.8  0.009900 12.2-99.9-99.9-99.9-9.9 9918.6 65 16.4   7  5.6-9.9-9.9
5018619680301 27.1 17.0  3.019900 15.4-99.9-99.9-99.9-9.9 9922.3 86 19.2   4  3.2-9.9-9.9
5018619680302 27.3 15.4  0.009900 13.6-99.9-99.9-99.9-9.9 9919.1 73 16.8   4  3.2-9.9-9.9
5018619680303 30.4 15.6  0.009900 15.0-99.9-99.9-99.9-9.9 9920.7 72 18.1   4  3.2-9.9-9.9
5018619680304 31.4 17.7  0.009900 16.1-99.9-99.9-99.9-9.9 9921.7 64 18.8   4  3.2-9.9-9.9
5018619680305 32.1 15.3  0.009900 17.4-99.9-99.9-99.9-9.9 9922.7 78 19.5   4  3.2-9.9-9.9
5018619680306 28.3 19.0  0.009900 18.6-99.9-99.9-99.9-9.9 9921.9 78 19.0   6  4.8-9.9-9.9
5018619680307 26.0 15.0  0.009900 14.5-99.9-99.9-99.9-9.9 9919.2 77 16.9   6  4.8-9.9-9.9
5018619680308 26.7 14.5  2.019900 14.1-99.9-99.9-99.9-9.9 9919.6 76 17.2   7  5.6-9.9-9.9
5018619680309 26.9 17.4  0.009900 16.2-99.9-99.9-99.9-9.9 9919.7 76 17.3   4  3.2-9.9-9.9
5018619680310 26.0 14.3  0.009900 15.4-99.9-99.9-99.9-9.9 9912.1 51  9.8   6  4.8-9.9-9.9
5018619680311 25.0  7.3  0.009900  4.8-99.9-99.9-99.9-9.9 9912.7 68 10.5   4  3.2-9.9-9.9
5018619680312 29.0 12.9  0.009900 10.2-99.9-99.9-99.9-9.9 9916.2 66 14.2   6  4.8-9.9-9.9
5018619680313 32.0 15.5  0.009900 13.1-99.9-99.9-99.9-9.9 9917.5 63 15.4   6  4.8-9.9-9.9
5018619680314 25.7 18.3 10.019900 15.3-99.9-99.9-99.9-9.9 9920.2 90 17.7   6  4.8-9.9-9.9
5018619680315 20.4 11.6  0.009900 10.2-99.9-99.9-99.9-9.9 99 9.8 57  6.7   6  4.8-9.9-9.9
5018619680316 21.0  7.0  0.009900  4.7-99.9-99.9-99.9-9.9 9910.7 67  8.0   6  4.8-9.9-9.9
5018619680317 25.4  5.4  0.009900  2.2-99.9-99.9-99.9-9.9 9910.0 58  7.0   4  3.2-9.9-9.9
5018619680318 25.0 11.3  0.009900  8.2-99.9-99.9-99.9-9.9 9914.5 66 12.5   6  4.8-9.9-9.9
5018619680319 28.1 14.3  0.009900 10.8-99.9-99.9-99.9-9.9 9917.0 69 15.0   4  3.2-9.9-9.9
5018619680320 29.0 11.3  0.009900  8.2-99.9-99.9-99.9-9.9 9917.6 71 15.5   2  1.6-9.9-9.9
5018619680321 25.0  9.6  0.009900  8.6-99.9-99.9-99.9-9.9 9913.1 69 11.0   4  3.2-9.9-9.9
5018619680322 24.0 11.6  0.009900  8.2-99.9-99.9-99.9-9.9 9915.9 75 13.9   4  3.2-9.9-9.9
5018619680323 29.0 14.3  0.319900 11.8-99.9-99.9-99.9-9.9 9917.9 67 15.8   7  5.6-9.9-9.9
5018619680324 23.7 13.4 22.019900 16.2-99.9-99.9-99.9-9.9 9916.1 91 14.1   9  7.2-9.9-9.9
5018619680325 17.7 10.2  0.009900  8.6-99.9-99.9-99.9-9.9 9910.1 72  7.1   6  4.8-9.9-9.9
5018619680326 22.9  6.3  0.009900  1.1-99.9-99.9-99.9-9.9 9910.8 66  8.1   6  4.8-9.9-9.9
5018619680327 21.3  6.3  0.009900  2.2-99.9-99.9-99.9-9.9 9911.7 71  9.3   2  1.6-9.9-9.9
5018619680328 23.4  7.6  0.009900  5.1-99.9-99.9-99.9-9.9 9913.2 73 11.1   4  3.2-9.9-9.9
5018619680329 24.7  9.3  0.219900  6.4-99.9-99.9-99.9-9.9 9916.3 81 14.3   4  3.2-9.9-9.9
