5028319560201 19.9  8.0  1.319999-99.9-99.9-99.9-99.9 2.5 16-9.9-99-99.9 -99-99.910.7-9.9
5028319560202 26.8 11.4  0.619999-99.9-99.9-99.9-99.9 3.5 23-9.9-99-99.9 -99-99.912.1-9.9
5028319560203 17.5  7.9  3.519999-99.9-99.9-99.9-99.9 8.2 55-9.9-99-99.9 -99-99.919.0-9.9
5028319560204 10.7  3.2  0.009999-99.9-99.9-99.9-99.9 3.0 20-9.9-99-99.9 -99-99.911.3-9.9
5028319560205 18.9  1.6  0.009999-99.9-99.9-99.9-99.9 8.7 59-9.9-99-99.9 -99-99.919.6-9.9
5028319560206 22.4 10.2  0.009999-99.9-99.9-99.9-99.910.1 69-9.9-99-99.9 -99-99.921.6-9.9
5028319560207 21.5 11.2  0.009999-99.9-99.9-99.9-99.911.3 77-9.9-99-99.9 -99-99.923.1-9.9
5028319560208 22.2 10.1  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 6.8-9.9
5028319560209 29.1 13.2  0.009999-99.9-99.9-99.9-99.911.6 80-9.9-99-99.9 -99-99.923.4-9.9
5028319560210 23.0 13.2  0.009999-99.9-99.9-99.9-99.9 9.7 67-9.9-99-99.9 -99-99.920.6-9.9
5028319560211 19.1 10.0  0.009999-99.9-99.9-99.9-99.913.0 90-9.9-99-99.9 -99-99.925.1-9.9
5028319560212 16.5  6.2  0.009999-99.9-99.9-99.9-99.9 7.0 49-9.9-99-99.9 -99-99.916.6-9.9
5028319560213 15.2  8.1  0.419999-99.9-99.9-99.9-99.9 4.9 34-9.9-99-99.9 -99-99.913.4-9.9
5028319560214 16.6  3.2  0.009999-99.9-99.9-99.9-99.9 6.2 43-9.9-99-99.9 -99-99.915.1-9.9
5028319560215 24.2  9.1  0.009999-99.9-99.9-99.9-99.913.3 94-9.9-99-99.9 -99-99.925.1-9.9
5028319560216 24.7  6.2  0.009999-99.9-99.9-99.9-99.9 8.0 57-9.9-99-99.9 -99-99.917.6-9.9
5028319560217 22.9  8.1  0.009999-99.9-99.9-99.9-99.911.0 78-9.9-99-99.9 -99-99.921.6-9.9
5028319560218 20.4  8.7  0.009999-99.9-99.9-99.9-99.912.3 88-9.9-99-99.9 -99-99.923.3-9.9
5028319560219 17.0  8.5  0.009999-99.9-99.9-99.9-99.9 7.3 52-9.9-99-99.9 -99-99.916.2-9.9
5028319560220 13.8  7.0  0.419999-99.9-99.9-99.9-99.9 6.7 48-9.9-99-99.9 -99-99.915.3-9.9
5028319560221 16.1  0.0  0.009999-99.9-99.9-99.9-99.911.6 84-9.9-99-99.9 -99-99.922.0-9.9
5028319560222 19.8  5.4  0.009999-99.9-99.9-99.9-99.9 8.0 58-9.9-99-99.9 -99-99.916.9-9.9
5028319560223 18.6 10.6  0.009999-99.9-99.9-99.9-99.9 8.8 64-9.9-99-99.9 -99-99.917.9-9.9
5028319560224 14.4  4.9  3.019999-99.9-99.9-99.9-99.9 8.0 58-9.9-99-99.9 -99-99.916.6-9.9
5028319560225 12.2  3.8  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 5.9-9.9
5028319560226 12.0  3.6  0.009999-99.9-99.9-99.9-99.9 7.5 55-9.9-99-99.9 -99-99.915.7-9.9
5028319560227 18.9  4.0  0.009999-99.9-99.9-99.9-99.9 6.8 50-9.9-99-99.9 -99-99.914.7-9.9
5028319560228 22.3  8.4  0.009999-99.9-99.9-99.9-99.9 6.1 45-9.9-99-99.9 -99-99.913.7-9.9
5028319560229 20.1 13.2  0.009999-99.9-99.9-99.9-99.9 8.9 67-9.9-99-99.9 -99-99.917.4-9.9
5028319560301 20.6  9.3  0.009999-99.9-99.9-99.9-99.9 7.5 56-9.9-99-99.9 -99-99.915.3-9.9
5028319560302 20.6  8.8  0.009999-99.9-99.9-99.9-99.9 3.0 22-9.9-99-99.9 -99-99.9 9.3-9.9
5028319560303 22.3 10.4  0.819999-99.9-99.9-99.9-99.9 6.2 47-9.9-99-99.9 -99-99.913.4-9.9
5028319560304 21.3  8.0  0.009999-99.9-99.9-99.9-99.910.5 80-9.9-99-99.9 -99-99.918.8-9.9
5028319560305 19.3 11.9  0.009999-99.9-99.9-99.9-99.9 0.1  0-9.9-99-99.9 -99-99.9 5.4-9.9
5028319560306 22.9  3.5  0.009999-99.9-99.9-99.9-99.9 9.6 74-9.9-99-99.9 -99-99.917.4-9.9
5028319560307 21.6  5.0  0.719999-99.9-99.9-99.9-99.9 8.5 66-9.9-99-99.9 -99-99.915.9-9.9
5028319560308 18.4  6.6  0.819999-99.9-99.9-99.9-99.9 8.9 69-9.9-99-99.9 -99-99.916.2-9.9
5028319560309 18.6  8.7  0.009999-99.9-99.9-99.9-99.9 3.5 27-9.9-99-99.9 -99-99.9 9.4-9.9
5028319560310 14.4  5.7  0.009999-99.9-99.9-99.9-99.9 4.8 37-9.9-99-99.9 -99-99.910.9-9.9
5028319560311 18.2  4.0  0.009999-99.9-99.9-99.9-99.9 6.4 50-9.9-99-99.9 -99-99.912.7-9.9
5028319560312 21.4  7.4  0.009999-99.9-99.9-99.9-99.9 7.0 55-9.9-99-99.9 -99-99.913.4-9.9
5028319560313 16.4  8.0  0.009999-99.9-99.9-99.9-99.910.0 80-9.9-99-99.9 -99-99.917.0-9.9
5028319560314 19.4  7.0  0.009999-99.9-99.9-99.9-99.910.8 86-9.9-99-99.9 -99-99.917.6-9.9
5028319560315 11.6  4.2  0.009999-99.9-99.9-99.9-99.9 4.3 34-9.9-99-99.9 -99-99.9 9.8-9.9
5028319560316  9.9  5.0  0.009999-99.9-99.9-99.9-99.9 1.2  9-9.9-99-99.9 -99-99.9 6.1-9.9
5028319560317 16.4  2.0  0.009999-99.9-99.9-99.9-99.9 2.7 22-9.9-99-99.9 -99-99.9 7.8-9.9
5028319560318 23.9 12.5  0.009999-99.9-99.9-99.9-99.9 1.4 11-9.9-99-99.9 -99-99.9 6.2-9.9
5028319560319 19.4  9.2  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.6-9.9
5028319560320 22.7  9.8  0.009999-99.9-99.9-99.9-99.9 7.3 60-9.9-99-99.9 -99-99.912.8-9.9
5028319560321 14.4  2.5  0.009999-99.9-99.9-99.9-99.9 7.9 65-9.9-99-99.9 -99-99.913.3-9.9
5028319560322 13.8  2.1  0.009999-99.9-99.9-99.9-99.9 4.8 40-9.9-99-99.9 -99-99.9 9.8-9.9
5028319560323 13.4 -1.6  0.009999-99.9-99.9-99.9-99.9 9.7 81-9.9-99-99.9 -99-99.915.1-9.9
5028319560324 13.4  4.0  0.009999-99.9-99.9-99.9-99.9 0.8  6-9.9-99-99.9 -99-99.9 5.1-9.9
5028319560325 10.9  4.5  0.009999-99.9-99.9-99.9-99.9 0.4  3-9.9-99-99.9 -99-99.9 4.6-9.9
5028319560326 15.4  1.0  0.009999-99.9-99.9-99.9-99.9 5.3 45-9.9-99-99.9 -99-99.9 9.9-9.9
5028319560327 17.4  3.0  0.009999-99.9-99.9-99.9-99.9 9.2 79-9.9-99-99.9 -99-99.914.0-9.9
5028319560328 19.9  7.0  0.009999-99.9-99.9-99.9-99.9 1.0  8-9.9-99-99.9 -99-99.9 5.0-9.9
5028319560329 14.8  5.0  0.009999-99.9-99.9-99.9-99.9 9.5 82-9.9-99-99.9 -99-99.914.0-9.9
5028319560330 16.2  7.0  0.009999-99.9-99.9-99.9-99.9 4.8 41-9.9-99-99.9 -99-99.9 8.9-9.9
5028319560331-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5028319560401 14.9  4.3  0.419999-99.9-99.9-99.9-99.9 5.0 44-9.9-99-99.9 -99-99.9 9.0-9.9
5028319560402 15.4  6.3  0.009999-99.9-99.9-99.9-99.9 3.6 31-9.9-99-99.9 -99-99.9 7.3-9.9
5028319560403 12.6  4.0  0.009999-99.9-99.9-99.9-99.9 6.7 59-9.9-99-99.9 -99-99.910.4-9.9
5028319560404  8.4  1.8  0.009999-99.9-99.9-99.9-99.9 1.5 13-9.9-99-99.9 -99-99.9 5.1-9.9
5028319560405  9.0 -2.4  0.009999-99.9-99.9-99.9-99.9 8.8 79-9.9-99-99.9 -99-99.912.3-9.9
5028319560406  1.4 -4.6  0.009999-99.9-99.9-99.9-99.9 8.2 74-9.9-99-99.9 -99-99.911.6-9.9
5028319560407 16.4  4.6  0.009999-99.9-99.9-99.9-99.9 5.1 46-9.9-99-99.9 -99-99.9 8.4-9.9
5028319560408 13.9  4.0  0.009999-99.9-99.9-99.9-99.9 5.2 47-9.9-99-99.9 -99-99.9 8.4-9.9
5028319560409 11.9  2.8  0.009999-99.9-99.9-99.9-99.9 7.4 68-9.9-99-99.9 -99-99.910.4-9.9
5028319560410 15.6  1.0  0.009999-99.9-99.9-99.9-99.9 1.0  9-9.9-99-99.9 -99-99.9 4.3-9.9
5028319560411 13.6  7.0  0.819999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.3-9.9
5028319560412 16.4  3.0  1.319999-99.9-99.9-99.9-99.9 5.2 48-9.9-99-99.9 -99-99.9 8.0-9.9
5028319560413 18.9  7.5  0.009999-99.9-99.9-99.9-99.9 9.0 84-9.9-99-99.9 -99-99.911.4-9.9
5028319560414 20.4  3.7  0.009999-99.9-99.9-99.9-99.910.0 94-9.9-99-99.9 -99-99.912.1-9.9
5028319560415 15.9  1.2  0.009999-99.9-99.9-99.9-99.9 8.8 83-9.9-99-99.9 -99-99.910.9-9.9
5028319560416 12.3  2.2  1.019999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.0-9.9
5028319560417 16.4  2.0  0.009999-99.9-99.9-99.9-99.9 5.4 51-9.9-99-99.9 -99-99.9 7.6-9.9
5028319560418 12.5  5.0  0.009999-99.9-99.9-99.9-99.9 5.2 50-9.9-99-99.9 -99-99.9 7.4-9.9
5028319560419 11.4  4.2  0.009999-99.9-99.9-99.9-99.9 2.5 24-9.9-99-99.9 -99-99.9 5.0-9.9
5028319560420 12.9 -1.5  0.009999-99.9-99.9-99.9-99.910.0 97-9.9-99-99.9 -99-99.911.3-9.9
5028319560421 15.8 -1.3  0.009999-99.9-99.9-99.9-99.910.0 98-9.9-99-99.9 -99-99.911.2-9.9
5028319560422 17.9  4.0  0.009999-99.9-99.9-99.9-99.9 7.0 68-9.9-99-99.9 -99-99.9 8.5-9.9
5028319560423 13.3  2.4  0.009999-99.9-99.9-99.9-99.9 9.2 91-9.9-99-99.9 -99-99.910.2-9.9
5028319560424 14.9  5.4  0.009999-99.9-99.9-99.9-99.9 9.2 91-9.9-99-99.9 -99-99.910.1-9.9
5028319560425 12.4  2.0  0.009999-99.9-99.9-99.9-99.9 0.2  2-9.9-99-99.9 -99-99.9 2.8-9.9
5028319560426 14.9  4.7  0.009999-99.9-99.9-99.9-99.9 3.3 33-9.9-99-99.9 -99-99.9 5.2-9.9
5028319560427 11.4 -3.2  1.419999-99.9-99.9-99.9-99.9 9.0 91-9.9-99-99.9 -99-99.9 9.6-9.9
5028319560428 10.4  1.0  0.009999-99.9-99.9-99.9-99.9 1.2 12-9.9-99-99.9 -99-99.9 3.4-9.9
5028319560429  7.7  2.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.5-9.9
5028319560430 11.2 -1.0  0.009999-99.9-99.9-99.9-99.9 7.2 74-9.9-99-99.9 -99-99.9 7.9-9.9
5028319560501 12.9 -1.0  0.009999-99.9-99.9-99.9-99.9 2.2 22-9.9-99-99.9 -99-99.9 4.0-9.9
5028319560502  8.9  3.8  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.3-9.9
5028319560503  5.2-99.9  3.419999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.3-9.9
5028319560504  8.9  1.4  0.009999-99.9-99.9-99.9-99.9 9.0 94-9.9-99-99.9 -99-99.9 8.8-9.9
5028319560505  2.9 -0.2  1.819999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.2-9.9
5028319560506  5.4 -1.2  1.319999-99.9-99.9-99.9-99.9 4.0 42-9.9-99-99.9 -99-99.9 5.0-9.9
5028319560507  4.4 -4.6  0.009999-99.9-99.9-99.9-99.9 7.6 81-9.9-99-99.9 -99-99.9 7.5-9.9
5028319560508  5.4 -3.0  0.009999-99.9-99.9-99.9-99.9 3.1 33-9.9-99-99.9 -99-99.9 4.3-9.9
5028319560509  3.9 -3.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.1-9.9
5028319560510 10.4 -2.5  0.009999-99.9-99.9-99.9-99.9 6.2 67-9.9-99-99.9 -99-99.9 6.3-9.9
5028319560511 15.9  4.3  0.009999-99.9-99.9-99.9-99.9 7.3 79-9.9-99-99.9 -99-99.9 6.9-9.9
5028319560512 15.4  4.0  0.009999-99.9-99.9-99.9-99.9 6.6 72-9.9-99-99.9 -99-99.9 6.4-9.9
5028319560513 13.9  4.5  0.009999-99.9-99.9-99.9-99.9 5.0 54-9.9-99-99.9 -99-99.9 5.2-9.9
5028319560514 14.4  1.6  0.009999-99.9-99.9-99.9-99.9 8.0 88-9.9-99-99.9 -99-99.9 7.1-9.9
5028319560515-99.9  3.0  0.009999-99.9-99.9-99.9-99.9 6.3 69-9.9-99-99.9 -99-99.9 5.9-9.9
5028319560516 12.4  2.5  0.009999-99.9-99.9-99.9-99.9 5.0 55-9.9-99-99.9 -99-99.9 5.0-9.9
5028319560517  5.4 -4.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 1.9-9.9
5028319560518  3.4 -4.6  0.009999-99.9-99.9-99.9-99.9 2.8 31-9.9-99-99.9 -99-99.9 3.6-9.9
5028319560519 12.0 -1.8  0.009999-99.9-99.9-99.9-99.9 5.2 58-9.9-99-99.9 -99-99.9 5.0-9.9
5028319560520 13.4  6.8  0.009999-99.9-99.9-99.9-99.9 3.9 44-9.9-99-99.9 -99-99.9 4.2-9.9
5028319560521 14.9  6.1  0.009999-99.9-99.9-99.9-99.9 3.7 42-9.9-99-99.9 -99-99.9 4.0-9.9
5028319560522 13.2  6.4  0.009999-99.9-99.9-99.9-99.9 5.2 59-9.9-99-99.9 -99-99.9 4.8-9.9
5028319560523 10.8  1.8  0.009999-99.9-99.9-99.9-99.9 7.2 82-9.9-99-99.9 -99-99.9 6.0-9.9
