5029320160308-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9  24 19.2-9.9-9.9
5029320160310-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 57-99.9  31 24.8-9.9-9.9
5029320160328-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 71-99.9  10  8.0-9.9-9.9
5029320160329-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 63-99.9  13 10.4-9.9-9.9
5029320160406-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 67-99.9  16 12.8-9.9-9.9
5029320160407-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 60-99.9  24 19.2-9.9-9.9
5029320160419-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 74-99.9   3  2.4-9.9-9.9
5029320160426-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 84-99.9   8  6.4-9.9-9.9
5029320160504-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 70-99.9   7  5.6-9.9-9.9
5029320160510-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 85-99.9   3  2.4-9.9-9.9
5029320160517-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 97-99.9   4  3.2-9.9-9.9
5029320160518-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 99-99.9   4  3.2-9.9-9.9
5029320160922-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 38-99.9  22 17.6-9.9-9.9
5029320170222-99.9-99.9  1.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 36-99.9  19 15.2-9.9-9.9
5029320170320-99.9  7.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  26 20.8-9.9-9.9
5029320170321-99.9  7.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 49-99.9  25 20.0-9.9-9.9
5029320170322-99.9  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 67-99.9  15 12.0-9.9-9.9
5029320170327-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 87-99.9   6  4.8-9.9-9.9
5029320170328-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 71-99.9  10  8.0-9.9-9.9
5029320170329-99.9  3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 72-99.9   7  5.6-9.9-9.9
5029320170330-99.9  1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 79-99.9   5  4.0-9.9-9.9
5029320170403-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 71-99.9  11  8.8-9.9-9.9
5029320170404-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 62-99.9  15 12.0-9.9-9.9
5029320170405-99.9 -0.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 70-99.9  15 12.0-9.9-9.9
5029320170406-99.9 -4.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 68-99.9   8  6.4-9.9-9.9
5029320170410-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 77-99.9  20 16.0-9.9-9.9
5029320170411-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 56-99.9  20 16.0-9.9-9.9
5029320170417-99.9 -2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 79-99.9   4  3.2-9.9-9.9
5029320170418-99.9  4.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 45-99.9  14 11.2-9.9-9.9
5029320170419-99.9  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 43-99.9  40 32.0-9.9-9.9
5029320170420-99.9  4.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 57-99.9  21 16.8-9.9-9.9
5029320170424-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 91-99.9   4  3.2-9.9-9.9
5029320170425-99.9  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 55-99.9  21 16.8-9.9-9.9
5029320170426-99.9  2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 52-99.9  24 19.2-9.9-9.9
5029320170427-99.9 -2.8-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9   9  7.2-9.9-9.9
5029320170502-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 87-99.9  19 15.2-9.9-9.9
5029320170503-99.9  1.5  2.019999-99.9-99.9-99.9-99.9-9.9 99-9.9 66-99.9  15 12.0-9.9-9.9
5029320170504-99.9  0.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 75-99.9  20 16.0-9.9-9.9
5029320170508-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 85-99.9  11  8.8-9.9-9.9
5029320170509-99.9 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 84-99.9   6  4.8-9.9-9.9
5029320170510-99.9 -3.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 79-99.9   5  4.0-9.9-9.9
5029320170511-99.9 -1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 70-99.9   9  7.2-9.9-9.9
5029320170515-99.9  1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 64-99.9  27 21.6-9.9-9.9
5029320170516-99.9 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 70-99.9   7  5.6-9.9-9.9
5029320170517-99.9 -2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 70-99.9   5  4.0-9.9-9.9
5029320170518-99.9 -1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 60-99.9  11  8.8-9.9-9.9
5029320170522-99.9 -3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 71-99.9  21 16.8-9.9-9.9
5029320170523-99.9  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 56-99.9  29 23.2-9.9-9.9
5029320170529-99.9 -2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 78-99.9   8  6.4-9.9-9.9
5029320170530-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 70-99.9   6  4.8-9.9-9.9
5029320170531-99.9 -3.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 89-99.9   8  6.4-9.9-9.9
5029320170601-99.9 -2.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 62-99.9  14 11.2-9.9-9.9
5029320170605-99.9  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 55-99.9  17 13.6-9.9-9.9
5029320170606-99.9  5.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 65-99.9  31 24.8-9.9-9.9
5029320170607-99.9 -1.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 92-99.9   8  6.4-9.9-9.9
5029320170608-99.9 -1.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9 73-99.9  22 17.6-9.9-9.9
