5032519560201 26.4-99.9  0.009999-99.9-99.9-99.9-99.912.1 88-9.9-99-99.9 -99-99.927.8-9.9
5032519560202 31.9-99.9  0.009999-99.9-99.9-99.9-99.912.4 90-9.9-99-99.9 -99-99.928.2-9.9
5032519560203 34.3-99.9  0.009999-99.9-99.9-99.9-99.9 8.9 65-9.9-99-99.9 -99-99.922.3-9.9
5032519560204 33.6-99.9  0.009999-99.9-99.9-99.9-99.911.2 82-9.9-99-99.9 -99-99.926.1-9.9
5032519560205 26.8-99.9  0.009999-99.9-99.9-99.9-99.912.0 88-9.9-99-99.9 -99-99.927.4-9.9
5032519560206 29.5-99.9  0.009999-99.9-99.9-99.9-99.911.5 84-9.9-99-99.9 -99-99.926.4-9.9
5032519560207 32.4-99.9  0.009999-99.9-99.9-99.9-99.9 9.3 68-9.9-99-99.9 -99-99.922.7-9.9
5032519560208 31.9-99.9  0.009999-99.9-99.9-99.9-99.911.5 85-9.9-99-99.9 -99-99.926.4-9.9
5032519560209 35.0-99.9  0.009999-99.9-99.9-99.9-99.911.0 81-9.9-99-99.9 -99-99.925.4-9.9
5032519560210 35.9-99.9  0.009999-99.9-99.9-99.9-99.910.0 74-9.9-99-99.9 -99-99.923.7-9.9
5032519560211 35.0-99.9  0.009999-99.9-99.9-99.9-99.9 9.7 72-9.9-99-99.9 -99-99.923.1-9.9
5032519560212 37.0-99.9  0.219999-99.9-99.9-99.9-99.910.7 79-9.9-99-99.9 -99-99.924.6-9.9
5032519560213 27.8-99.9  0.009999-99.9-99.9-99.9-99.911.5 86-9.9-99-99.9 -99-99.926.0-9.9
5032519560214 27.0-99.9  0.009999-99.9-99.9-99.9-99.911.3 84-9.9-99-99.9 -99-99.925.4-9.9
5032519560215 28.2-99.9  0.009999-99.9-99.9-99.9-99.911.8 88-9.9-99-99.9 -99-99.926.2-9.9
5032519560216 32.8-99.9  0.009999-99.9-99.9-99.9-99.911.2 84-9.9-99-99.9 -99-99.925.2-9.9
5032519560217 32.2-99.9  0.009999-99.9-99.9-99.9-99.9 8.9 67-9.9-99-99.9 -99-99.921.4-9.9
5032519560218 34.5-99.9  2.219999-99.9-99.9-99.9-99.911.6 88-9.9-99-99.9 -99-99.925.8-9.9
5032519560219 32.0-99.9  0.009999-99.9-99.9-99.9-99.9 9.5 72-9.9-99-99.9 -99-99.922.2-9.9
5032519560220 28.3-99.9  0.009999-99.9-99.9-99.9-99.910.1 77-9.9-99-99.9 -99-99.923.2-9.9
5032519560221 22.5-99.9  0.009999-99.9-99.9-99.9-99.9 9.3 71-9.9-99-99.9 -99-99.921.8-9.9
5032519560222 25.6-99.9  0.009999-99.9-99.9-99.9-99.911.0 84-9.9-99-99.9 -99-99.924.4-9.9
5032519560223 29.4-99.9  0.009999-99.9-99.9-99.9-99.911.4 87-9.9-99-99.9 -99-99.924.8-9.9
