5033419560201 26.0  8.5  0.009999-99.9-99.9-99.9-99.912.1 87-9.9-99-99.9 -99-99.927.5-9.9
5033419560202 32.3 12.7  0.009999-99.9-99.9-99.9-99.911.6 84-9.9-99-99.9 -99-99.926.7-9.9
5033419560203 33.2 16.4  0.009999-99.9-99.9-99.9-99.911.0 80-9.9-99-99.9 -99-99.925.7-9.9
5033419560204 31.5 19.5  0.819999-99.9-99.9-99.9-99.9 4.5 32-9.9-99-99.9 -99-99.914.7-9.9
5033419560205 25.4 14.3  0.009999-99.9-99.9-99.9-99.9 8.7 63-9.9-99-99.9 -99-99.921.7-9.9
5033419560206 26.3  5.8  0.009999-99.9-99.9-99.9-99.912.1 88-9.9-99-99.9 -99-99.927.2-9.9
5033419560207 29.4 12.7  0.009999-99.9-99.9-99.9-99.911.1 81-9.9-99-99.9 -99-99.925.5-9.9
5033419560208 31.5 15.6  0.009999-99.9-99.9-99.9-99.910.4 76-9.9-99-99.9 -99-99.924.3-9.9
5033419560209 34.2 20.1  0.009999-99.9-99.9-99.9-99.910.4 76-9.9-99-99.9 -99-99.924.2-9.9
5033419560210 33.5 18.1  0.009999-99.9-99.9-99.9-99.911.1 82-9.9-99-99.9 -99-99.925.4-9.9
5033419560211 33.0 17.4  0.009999-99.9-99.9-99.9-99.910.0 74-9.9-99-99.9 -99-99.923.5-9.9
5033419560212 34.0 15.8  3.619999-99.9-99.9-99.9-99.9 9.8 72-9.9-99-99.9 -99-99.922.9-9.9
5033419560213 27.4 14.8  0.009999-99.9-99.9-99.9-99.910.8 80-9.9-99-99.9 -99-99.924.6-9.9
5033419560214 29.5  7.2  0.009999-99.9-99.9-99.9-99.9 9.6 71-9.9-99-99.9 -99-99.922.5-9.9
5033419560215 27.9  7.7  0.009999-99.9-99.9-99.9-99.910.8 81-9.9-99-99.9 -99-99.924.5-9.9
5033419560216 32.6 15.9  0.009999-99.9-99.9-99.9-99.911.6 87-9.9-99-99.9 -99-99.925.7-9.9
5033419560217 34.8 18.2  0.009999-99.9-99.9-99.9-99.911.1 83-9.9-99-99.9 -99-99.924.7-9.9
5033419560218 34.9 14.1  0.009999-99.9-99.9-99.9-99.910.4 78-9.9-99-99.9 -99-99.923.5-9.9
5033419560219 35.1 19.4 26.319999-99.9-99.9-99.9-99.9 4.3 32-9.9-99-99.9 -99-99.913.7-9.9
5033419560220 28.7 18.4  5.419999-99.9-99.9-99.9-99.9 6.6 50-9.9-99-99.9 -99-99.917.4-9.9
5033419560221 24.0 11.9  0.009999-99.9-99.9-99.9-99.9 5.3 40-9.9-99-99.9 -99-99.915.2-9.9
5033419560222 24.8  6.7  0.009999-99.9-99.9-99.9-99.910.5 80-9.9-99-99.9 -99-99.923.4-9.9
5033419560223 29.4 10.3 16.219999-99.9-99.9-99.9-99.910.3 78-9.9-99-99.9 -99-99.922.8-9.9
5033419560224 27.5 10.1  0.009999-99.9-99.9-99.9-99.910.2 78-9.9-99-99.9 -99-99.922.7-9.9
5033419560225 28.0 16.1  0.009999-99.9-99.9-99.9-99.9 7.2 55-9.9-99-99.9 -99-99.917.9-9.9
5033419560226 30.0 14.3  4.219999-99.9-99.9-99.9-99.910.3 79-9.9-99-99.9 -99-99.922.6-9.9
5033419560227 27.0 15.2  8.319999-99.9-99.9-99.9-99.9 3.8 29-9.9-99-99.9 -99-99.912.4-9.9
5033419560228 23.9 12.5  0.009999-99.9-99.9-99.9-99.911.4 88-9.9-99-99.9 -99-99.924.1-9.9
5033419560229 31.0 10.7  0.009999-99.9-99.9-99.9-99.911.9 92-9.9-99-99.9 -99-99.924.7-9.9
5033419560301 33.0 12.9  0.009999-99.9-99.9-99.9-99.910.8 84-9.9-99-99.9 -99-99.923.0-9.9
5033419560302 34.0 13.5  0.009999-99.9-99.9-99.9-99.910.9 85-9.9-99-99.9 -99-99.923.0-9.9
5033419560303 32.0 19.9  0.009999-99.9-99.9-99.9-99.9 5.9 46-9.9-99-99.9 -99-99.915.3-9.9
5033419560304 30.4 17.1  0.009999-99.9-99.9-99.9-99.9 3.9 30-9.9-99-99.9 -99-99.912.1-9.9
5033419560305 34.0 15.6  0.009999-99.9-99.9-99.9-99.910.4 82-9.9-99-99.9 -99-99.922.0-9.9
5033419560306 27.6 17.4 27.819999-99.9-99.9-99.9-99.9 3.5 27-9.9-99-99.9 -99-99.911.4-9.9
5033419560307 28.8 12.4  0.009999-99.9-99.9-99.9-99.910.8 86-9.9-99-99.9 -99-99.922.4-9.9
5033419560308 31.8 16.6  0.009999-99.9-99.9-99.9-99.910.3 82-9.9-99-99.9 -99-99.921.5-9.9
5033419560309 33.4 20.7 10.219999-99.9-99.9-99.9-99.9 9.0 72-9.9-99-99.9 -99-99.919.5-9.9
5033419560310 32.0 17.7 91.619999-99.9-99.9-99.9-99.9 3.6 28-9.9-99-99.9 -99-99.911.2-9.9
5033419560311 26.0 13.1 22.019999-99.9-99.9-99.9-99.9 3.8 30-9.9-99-99.9 -99-99.911.5-9.9
5033419560312 19.0 12.2  0.009999-99.9-99.9-99.9-99.9 4.3 34-9.9-99-99.9 -99-99.912.1-9.9
5033419560313 22.0 10.8  0.009999-99.9-99.9-99.9-99.9 3.0 24-9.9-99-99.9 -99-99.910.2-9.9
5033419560314 27.3 11.5  0.009999-99.9-99.9-99.9-99.9 7.0 56-9.9-99-99.9 -99-99.915.9-9.9
5033419560315 30.6 17.1  0.009999-99.9-99.9-99.9-99.9 5.8 47-9.9-99-99.9 -99-99.914.2-9.9
5033419560316 23.0  9.6  0.009999-99.9-99.9-99.9-99.9 6.6 54-9.9-99-99.9 -99-99.915.3-9.9
5033419560317 26.0  9.6  0.009999-99.9-99.9-99.9-99.9 6.2 50-9.9-99-99.9 -99-99.914.5-9.9
5033419560318 29.5 13.6  0.009999-99.9-99.9-99.9-99.9 6.7 55-9.9-99-99.9 -99-99.915.2-9.9
5033419560319 29.5 15.7  0.009999-99.9-99.9-99.9-99.9 5.6 46-9.9-99-99.9 -99-99.913.5-9.9
5033419560320 26.3 17.1  0.009999-99.9-99.9-99.9-99.9 1.0  8-9.9-99-99.9 -99-99.9 6.9-9.9
5033419560321 27.6 15.6  0.009999-99.9-99.9-99.9-99.9 3.5 29-9.9-99-99.9 -99-99.910.4-9.9
5033419560322 20.3 11.9  5.019999-99.9-99.9-99.9-99.9 0.1  0-9.9-99-99.9 -99-99.9 5.5-9.9
5033419560323 17.7  3.8  0.009999-99.9-99.9-99.9-99.9 3.4 28-9.9-99-99.9 -99-99.910.1-9.9
5033419560324 22.9  2.6  0.009999-99.9-99.9-99.9-99.9 6.3 52-9.9-99-99.9 -99-99.914.0-9.9
5033419560325 26.1 12.8  0.519999-99.9-99.9-99.9-99.9 7.3 61-9.9-99-99.9 -99-99.915.3-9.9
5033419560326 20.7 12.1  0.519999-99.9-99.9-99.9-99.9 4.8 40-9.9-99-99.9 -99-99.911.8-9.9
5033419560327 22.0  3.6  0.009999-99.9-99.9-99.9-99.9 8.3 70-9.9-99-99.9 -99-99.916.5-9.9
5033419560328 24.5  8.6  0.009999-99.9-99.9-99.9-99.9 5.0 42-9.9-99-99.9 -99-99.911.9-9.9
5033419560329 26.1 11.6  0.119999-99.9-99.9-99.9-99.9 4.6 39-9.9-99-99.9 -99-99.911.3-9.9
5033419560330 17.2 10.6 15.019999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 5.1-9.9
5033419560331 20.2  5.1  0.009999-99.9-99.9-99.9-99.9 8.5 72-9.9-99-99.9 -99-99.916.2-9.9
5033419560401 22.4  2.1  0.009999-99.9-99.9-99.9-99.9 7.5 64-9.9-99-99.9 -99-99.914.8-9.9
5033419560402 22.3  6.7  0.319999-99.9-99.9-99.9-99.9 5.2 44-9.9-99-99.9 -99-99.911.7-9.9
5033419560403 20.3 10.0  0.009999-99.9-99.9-99.9-99.9 3.3 28-9.9-99-99.9 -99-99.9 9.1-9.9
5033419560404 25.1  5.1  0.009999-99.9-99.9-99.9-99.9 6.8 59-9.9-99-99.9 -99-99.913.7-9.9
5033419560405 25.4  6.5  3.119999-99.9-99.9-99.9-99.9 5.5 47-9.9-99-99.9 -99-99.911.8-9.9
5033419560406 19.1  7.1  0.419999-99.9-99.9-99.9-99.9 1.7 14-9.9-99-99.9 -99-99.9 6.8-9.9
5033419560407 18.4  0.5  0.009999-99.9-99.9-99.9-99.9 6.4 56-9.9-99-99.9 -99-99.912.9-9.9
5033419560408 20.0  4.0  0.219999-99.9-99.9-99.9-99.9 4.0 35-9.9-99-99.9 -99-99.9 9.7-9.9
5033419560409 20.6  9.5  0.009999-99.9-99.9-99.9-99.9 2.3 20-9.9-99-99.9 -99-99.9 7.5-9.9
5033419560410 18.0  2.2  0.009999-99.9-99.9-99.9-99.9 7.5 66-9.9-99-99.9 -99-99.913.9-9.9
5033419560411 19.4 -3.0  0.009999-99.9-99.9-99.9-99.910.2 90-9.9-99-99.9 -99-99.917.1-9.9
5033419560412 22.8  1.6  0.009999-99.9-99.9-99.9-99.9 7.0 62-9.9-99-99.9 -99-99.913.1-9.9
5033419560413 22.4  3.0  0.009999-99.9-99.9-99.9-99.9 6.8 60-9.9-99-99.9 -99-99.912.7-9.9
5033419560414 21.8  6.5  0.009999-99.9-99.9-99.9-99.9 7.2 64-9.9-99-99.9 -99-99.913.1-9.9
5033419560415 22.0  7.0  0.009999-99.9-99.9-99.9-99.9 6.7 60-9.9-99-99.9 -99-99.912.4-9.9
5033419560416 22.2  7.5  0.009999-99.9-99.9-99.9-99.9 8.5 76-9.9-99-99.9 -99-99.914.4-9.9
5033419560417 24.0 10.4  0.009999-99.9-99.9-99.9-99.9 5.3 48-9.9-99-99.9 -99-99.910.6-9.9
5033419560418 23.0  8.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.3-9.9
5033419560419 20.5 10.6  0.009999-99.9-99.9-99.9-99.9 0.7  6-9.9-99-99.9 -99-99.9 5.0-9.9
5033419560420 21.5 13.0 37.819999-99.9-99.9-99.9-99.9 1.2 10-9.9-99-99.9 -99-99.9 5.5-9.9
5033419560421 18.5 11.6  8.019999-99.9-99.9-99.9-99.9 0.2  1-9.9-99-99.9 -99-99.9 4.3-9.9
5033419560422 13.0  7.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 4.1-9.9
5033419560423 19.8  2.0  0.009999-99.9-99.9-99.9-99.9 8.3 76-9.9-99-99.9 -99-99.913.5-9.9
5033419560424 17.5  3.5  0.009999-99.9-99.9-99.9-99.9 8.8 81-9.9-99-99.9 -99-99.913.9-9.9
5033419560425 18.0  0.5  5.819999-99.9-99.9-99.9-99.9 4.0 37-9.9-99-99.9 -99-99.9 8.5-9.9
5033419560426 16.0  5.0 23.019999-99.9-99.9-99.9-99.9 1.5 13-9.9-99-99.9 -99-99.9 5.5-9.9
5033419560427 18.0  5.0  0.009999-99.9-99.9-99.9-99.9 7.4 69-9.9-99-99.9 -99-99.912.1-9.9
5033419560428 22.2  6.6  0.009999-99.9-99.9-99.9-99.9 2.3 21-9.9-99-99.9 -99-99.9 6.3-9.9
5033419560429 24.5  6.5  0.009999-99.9-99.9-99.9-99.9 6.8 63-9.9-99-99.9 -99-99.911.2-9.9
5033419560430 18.5  6.8  0.009999-99.9-99.9-99.9-99.9 2.5 23-9.9-99-99.9 -99-99.9 6.4-9.9
5033419560501 17.0  1.0  0.009999-99.9-99.9-99.9-99.9 5.9 55-9.9-99-99.9 -99-99.910.0-9.9
5033419560502 23.0  5.0  0.009999-99.9-99.9-99.9-99.9 5.3 50-9.9-99-99.9 -99-99.9 9.4-9.9
5033419560503 18.5  7.0  0.009999-99.9-99.9-99.9-99.9 4.7 44-9.9-99-99.9 -99-99.9 8.6-9.9
5033419560504 17.0 -0.5  0.009999-99.9-99.9-99.9-99.9 5.4 51-9.9-99-99.9 -99-99.9 9.3-9.9
