5036619600101-99.9 20.1 13.319900-99.9-99.9-99.9-99.9 0.4  324.7 86 20.9   2  1.6 8.6-9.9
5036619600102-99.9 19.6  0.519900-99.9-99.9-99.9-99.9 0.0  022.5 91 19.4   7  5.6 7.9-9.9
5036619600103-99.9 20.2  0.119900-99.9-99.9-99.9-99.9 0.2  124.7 82 20.9   8  6.4 8.3-9.9
5036619600104-99.9 20.6  0.219900-99.9-99.9-99.9-99.9 4.9 3624.7 74 20.9   8  6.416.6-9.9
5036619600105-99.9 22.2  0.009900-99.9-99.9-99.9-99.9 7.2 5226.3 68 21.9  11  8.820.6-9.9
5036619600106-99.9 18.9 24.519900-99.9-99.9-99.9-99.9 9.8 7223.8 69 20.3   6  4.825.2-9.9
5036619600107-99.9 18.7  0.009900-99.9-99.9-99.9-99.911.0 80-9.9-99-99.9 -99-99.927.3-9.9
5036619600108-99.9 18.6  0.009900-99.9-99.9-99.9-99.910.6 77-9.9-99-99.9 -99-99.926.6-9.9
5036619600109-99.9 20.3  0.009900-99.9-99.9-99.9-99.910.4 7620.1 52 17.6   7  5.626.2-9.9
5036619600110-99.9 23.2  2.919900-99.9-99.9-99.9-99.9 2.2 1622.4 58 19.3  11  8.811.8-9.9
5036619600111-99.9 22.3  0.119900-99.9-99.9-99.9-99.9 3.8 2820.9 55 18.2   9  7.214.6-9.9
5036619600112-99.9 23.7  3.219900-99.9-99.9-99.9-99.9 2.4 1821.8 65 18.9  14 11.212.1-9.9
5036619600113-99.9 21.9  0.009900-99.9-99.9-99.9-99.9 6.0 4425.4 72 21.4  11  8.818.4-9.9
5036619600114-99.9 21.8  0.009900-99.9-99.9-99.9-99.9 7.3 5425.5 73 21.4   9  7.220.7-9.9
5036619600115-99.9 23.6  1.119900-99.9-99.9-99.9-99.9 9.5 7025.1 62 21.2   8  6.424.6-9.9
5036619600116 34.6 23.6  0.009900-99.9-99.9-99.9-99.9 8.0 5926.3 64 21.9   4  3.221.9 5.5
5036619600117 35.3 22.5  0.009900-99.9-99.9-99.9-99.9 8.0 5927.6 62 22.7   4  3.221.9 5.4
5036619600118 36.5 24.7  0.009900-99.9-99.9-99.9-99.9 8.5 63-9.9-99-99.9 -99-99.922.7-9.9
5036619600119 34.2 21.1 14.819900-99.9-99.9-99.9-99.9 6.0 44-9.9-99-99.9 -99-99.918.3-9.9
5036619600120 30.6 21.6  0.009900-99.9-99.9-99.9-99.9 8.0 5924.4 73 20.7   9  7.221.8 5.3
