5047719610701 13.4  8.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 81  6.7  18 14.4-9.9-9.9
5047719610702 10.5  0.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 80  3.6   6  4.8-9.9-9.9
5047719610703 10.8  1.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.5 62  2.9   9  7.2-9.9-9.9
5047719610704-99.9  7.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.9 93 12.9  11  8.8-9.9-9.9
5047719610705 14.8 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 9917.2 92 15.1   6  4.8-9.9-9.9
5047719610706 16.5  5.5  0.009900-99.9-99.9-99.9-99.9-9.9 9911.5 80  9.0  18 14.4-9.9-9.9
5047719610707 10.0  4.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 85  3.9  11  8.8-9.9-9.9
5047719610708 10.0  1.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.2 70  2.3  15 12.0-9.9-9.9
5047719610709-99.9  3.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 71  2.1   9  7.2-9.9-9.9
5047719610710 12.1  4.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.1 80  5.6  11  8.8-9.9-9.9
5047719610711 13.5  5.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 76  7.4   7  5.6-9.9-9.9
5047719610712 15.0  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.9 89 10.7   7  5.6-9.9-9.9
5047719610713-99.9  3.8  0.009900-99.9-99.9-99.9-99.9-9.9 9910.2 86  7.3   9  7.2-9.9-9.9
5047719610714 16.0  2.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 79  5.4   9  7.2-9.9-9.9
5047719610715 20.0  6.0  0.009900-99.9-99.9-99.9-99.9-9.9 9911.0 75  8.4   7  5.6-9.9-9.9
5047719610716 18.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.8 93 14.8  11  8.8-9.9-9.9
5047719610717 16.5 12.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.8 95 12.8   6  4.8-9.9-9.9
5047719610718 21.0 13.6  0.009900-99.9-99.9-99.9-99.9-9.9 9917.5 92 15.4   9  7.2-9.9-9.9
5047719610719 26.6 14.6 37.219900-99.9-99.9-99.9-99.9-9.9 9920.3 73 17.7  14 11.2-9.9-9.9
5047719610720 21.7 12.0  0.819900-99.9-99.9-99.9-99.9-9.9 9913.7 74 11.6  21 16.8-9.9-9.9
5047719610721 12.2  5.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.9 72  5.3   9  7.2-9.9-9.9
5047719610722 19.0  5.5  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 70  8.0  15 12.0-9.9-9.9
5047719610723 18.8  8.5  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 76  9.3   6  4.8-9.9-9.9
5047719610724 21.5  6.7  0.009900-99.9-99.9-99.9-99.9-9.9 9915.5 85 13.5   7  5.6-9.9-9.9
5047719610725 17.0  7.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.4 71  7.5  23 18.4-9.9-9.9
5047719610726 11.5 -1.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 77  6.8   9  7.2-9.9-9.9
5047719610727 14.0 -1.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 78  3.0   6  4.8-9.9-9.9
5047719610728 16.0  0.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.5 72  4.6  11  8.8-9.9-9.9
5047719610729 17.8  4.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 59  3.4  11  8.8-9.9-9.9
5047719610730 20.0  5.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 58  3.9  13 10.4-9.9-9.9
5047719610731 20.0  8.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.2 72  9.9  13 10.4-9.9-9.9
5047719610801 20.0  8.0  0.009900-99.9-99.9-99.9-99.9-9.9 9913.6 77 11.5  11  8.8-9.9-9.9
5047719610802 22.5 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 9913.4 74 11.3   7  5.6-9.9-9.9
5047719610803 17.0 10.6  0.009900-99.9-99.9-99.9-99.9-9.9 9914.3 77 12.3  11  8.8-9.9-9.9
5047719610804 23.5 10.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.3 71 12.3  11  8.8-9.9-9.9
5047719610805 27.5 13.8  0.009900-99.9-99.9-99.9-99.9-9.9 9917.4 71 15.3  13 10.4-9.9-9.9
5047719610806 21.0 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.7 67 10.5  31 24.8-9.9-9.9
5047719610807 15.0  9.7  0.009900-99.9-99.9-99.9-99.9-9.9 9911.9 78  9.5  24 19.2-9.9-9.9
5047719610808 15.5 11.2  0.009900-99.9-99.9-99.9-99.9-9.9 9914.0 85 12.0  15 12.0-9.9-9.9
5047719610809 19.5 11.3  0.009900-99.9-99.9-99.9-99.9-9.9 9916.6 90 14.6   9  7.2-9.9-9.9
5047719610810 17.6 13.2  0.009900-99.9-99.9-99.9-99.9-9.9 9914.9 84 12.9  18 14.4-9.9-9.9
5047719610811 22.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9915.0 79 13.0  13 10.4-9.9-9.9
5047719610812 18.5 14.0  2.019900-99.9-99.9-99.9-99.9-9.9 9916.0 84 14.0  11  8.8-9.9-9.9
5047719610813 20.0  7.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 79  8.0   9  7.2-9.9-9.9
5047719610814 20.4  2.7  0.009900-99.9-99.9-99.9-99.9-9.9 9910.3 68  7.4   7  5.6-9.9-9.9
5047719610815 20.0  7.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 69  8.0   4  3.2-9.9-9.9
5047719610816 21.0  3.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.0 68  7.0   7  5.6-9.9-9.9
5047719610817 23.5  5.0  0.009900-99.9-99.9-99.9-99.9-9.9 9912.6 72 10.4   9  7.2-9.9-9.9
5047719610818 15.0  5.8  0.009900-99.9-99.9-99.9-99.9-9.9 9914.5 84 12.5  14 11.2-9.9-9.9
5047719610819 20.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.9 83 12.9  13 10.4-9.9-9.9
5047719610820 24.0 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.5 82 14.5   7  5.6-9.9-9.9
5047719610821 27.0 12.7  0.009900-99.9-99.9-99.9-99.9-9.9 9915.8 68 13.8  13 10.4-9.9-9.9
5047719610822 20.0 11.4  9.019900-99.9-99.9-99.9-99.9-9.9 9915.6 85 13.6  19 15.2-9.9-9.9
5047719610823 18.0  5.5  7.519900-99.9-99.9-99.9-99.9-9.9 9910.2 70  7.3  11  8.8-9.9-9.9
5047719610824 13.0  9.0  2.519900-99.9-99.9-99.9-99.9-9.9 9912.2 90  9.9  11  8.8-9.9-9.9
5047719610825 18.0  4.0  0.009900-99.9-99.9-99.9-99.9-9.9 9910.7 78  8.0   9  7.2-9.9-9.9
5047719610826 21.0  7.3  0.009900-99.9-99.9-99.9-99.9-9.9 9912.7 70 10.5  19 15.2-9.9-9.9
5047719610827 19.5 11.5  0.009900-99.9-99.9-99.9-99.9-9.9 9910.9 63  8.2  21 16.8-9.9-9.9
5047719610828 19.2  5.7  0.009900-99.9-99.9-99.9-99.9-9.9 9912.4 76 10.1  19 15.2-9.9-9.9
5047719610829 17.0 12.0  2.019900-99.9-99.9-99.9-99.9-9.9 9914.5 92 12.5  18 14.4-9.9-9.9
5047719610830 16.5  6.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.8 76  6.7   9  7.2-9.9-9.9
5047719610831 19.0  6.0  0.009900-99.9-99.9-99.9-99.9-9.9 9911.3 69  8.8  16 12.8-9.9-9.9
5047719610901-99.9 11.0  0.009900-99.9-99.9-99.9-99.9-9.9 9917.0 72 15.0  11  8.8-9.9-9.9
5047719610902 21.5 14.4  1.019900-99.9-99.9-99.9-99.9-9.9 9914.6 71 12.6  21 16.8-9.9-9.9
5047719610903 19.2  9.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.8 55  3.4  17 13.6-9.9-9.9
5047719610904 18.5  0.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.7 61  1.3   7  5.6-9.9-9.9
5047719610905 19.5  1.0  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 48  1.9   7  5.6-9.9-9.9
5047719610906 21.0  5.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.4 51  4.5  11  8.8-9.9-9.9
5047719610907 19.2  7.5  0.009900-99.9-99.9-99.9-99.9-9.9 9910.2 64  7.3  21 16.8-9.9-9.9
