5050119670501 20.2 13.1  0.009900 10.4-99.9-99.9-99.9-9.9 9915.1 84 13.1  21 16.8-9.9-9.9
5050119670502 22.6 12.1  0.009900 10.2-99.9-99.9-99.9-9.9 9913.8 68 11.8  25 20.0-9.9-9.9
5050119670503 22.7 12.8  0.009900 10.0-99.9-99.9-99.9-9.9 9913.3 77 11.2  11  8.8-9.9-9.9
5050119670504 24.7  9.0  0.009900  7.9-99.9-99.9-99.9-9.9 9911.3 63  8.8  20 16.0-9.9-9.9
5050119670505 24.2  5.6  0.009900  4.0-99.9-99.9-99.9-9.9 9911.8 61  9.4   9  7.2-9.9-9.9
5050119670506 24.2 12.9  0.009900  9.9-99.9-99.9-99.9-9.9 9912.2 66  9.9   7  5.6-9.9-9.9
5050119670507 25.5 10.8  0.009900  9.0-99.9-99.9-99.9-9.9 9916.8 77 14.8  16 12.8-9.9-9.9
5050119670508 20.0 12.8 40.519900 10.0-99.9-99.9-99.9-9.9 9918.6 95 16.4   7  5.6-9.9-9.9
5050119670509 20.9 14.5  5.819900 12.2-99.9-99.9-99.9-9.9 9916.4 81 14.4  21 16.8-9.9-9.9
5050119670510 16.7  9.1  0.009900  8.0-99.9-99.9-99.9-9.9 99 9.0 63  5.4  23 18.4-9.9-9.9
5050119670511 17.5  2.5  0.009900  1.2-99.9-99.9-99.9-9.9 99 7.7 57  3.2  20 16.0-9.9-9.9
5050119670512 20.3  6.6  0.009900  4.7-99.9-99.9-99.9-9.9 99 8.4 48  4.5  32 25.6-9.9-9.9
5050119670513 22.2 12.7  0.009900  9.0-99.9-99.9-99.9-9.9 99 9.3 50  5.9  20 16.0-9.9-9.9
5050119670514 21.2  8.8  0.009900  5.9-99.9-99.9-99.9-9.9 9913.1 81 11.0   4  3.2-9.9-9.9
5050119670515 24.2  6.6  0.009900  5.0-99.9-99.9-99.9-9.9 9916.4 86 14.4   8  6.4-9.9-9.9
5050119670516 20.5  7.1  0.009900  5.2-99.9-99.9-99.9-9.9 9913.0 82 10.9  14 11.2-9.9-9.9
5050119670517 18.5 14.5 96.719900 13.9-99.9-99.9-99.9-9.9 9919.0 96 16.7  25 20.0-9.9-9.9
5050119670518 16.8 10.4  0.009900 10.4-99.9-99.9-99.9-9.9 99 9.1 64  5.6  32 25.6-9.9-9.9
5050119670519 16.4  4.5  0.009900  3.2-99.9-99.9-99.9-9.9 99 7.9 61  3.6  21 16.8-9.9-9.9
5050119670520 19.0  9.1  0.009900  7.8-99.9-99.9-99.9-9.9 9910.1 58  7.1  23 18.4-9.9-9.9
5050119670521 19.7 12.4  0.009900 11.1-99.9-99.9-99.9-9.9 9915.1 88 13.1  11  8.8-9.9-9.9
5050119670522 15.8  6.3  0.009900  5.8-99.9-99.9-99.9-9.9 9912.1 90  9.8  10  8.0-9.9-9.9
5050119670523 15.2  2.6  0.009900  2.0-99.9-99.9-99.9-9.9 99 7.5 62  2.9  24 19.2-9.9-9.9
5050119670524 16.5  6.6  0.009900  4.9-99.9-99.9-99.9-9.9 9910.3 79  7.4   6  4.8-9.9-9.9
5050119670525 12.0  3.8  1.219900  1.8-99.9-99.9-99.9-9.9 99 9.5 88  6.2   9  7.2-9.9-9.9
5050119670526 13.5  3.2  0.009900  2.2-99.9-99.9-99.9-9.9 99 9.1 87  5.6   1  0.8-9.9-9.9
5050119670527 12.1  1.3 10.419900  0.1-99.9-99.9-99.9-9.9 9911.2 99  8.6   5  4.0-9.9-9.9
5050119670528 12.0  7.5  0.009900  9.0-99.9-99.9-99.9-9.9 9911.5 95  9.0   8  6.4-9.9-9.9
5050119670529 12.1  4.2  0.009900  3.8-99.9-99.9-99.9-9.9 99 9.0 83  5.4  15 12.0-9.9-9.9
