5055119890501 18.6 -1.8  0.009999-99.9-99.9-99.9-99.910.2 95-9.9-99-99.9 -99-99.915.5-9.9
5055119890502 20.6  0.8  0.009999-99.9-99.9-99.9-99.910.0 93-9.9-99-99.9 -99-99.915.1-9.9
5055119890503 14.6  5.2  0.009999-99.9-99.9-99.9-99.9 3.5 32-9.9-99-99.9 -99-99.9 7.7-9.9
5055119890504  9.5  4.2  5.719999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.9-9.9
5055119890505 13.4  1.2  0.009999-99.9-99.9-99.9-99.9 9.2 86-9.9-99-99.9 -99-99.913.9-9.9
5055119890506 14.6 -2.3  0.009999-99.9-99.9-99.9-99.9 9.7 91-9.9-99-99.9 -99-99.914.4-9.9
5055119890507 16.2 -2.3  0.009999-99.9-99.9-99.9-99.9 9.8 92-9.9-99-99.9 -99-99.914.4-9.9
5055119890508 16.3 -0.3  0.009999-99.9-99.9-99.9-99.9 3.3 31-9.9-99-99.9 -99-99.9 7.3-9.9
5055119890509 18.5 -1.3  0.009999-99.9-99.9-99.9-99.9 9.3 88-9.9-99-99.9 -99-99.913.7-9.9
5055119890510 21.1  2.7  0.009999-99.9-99.9-99.9-99.9 7.7 73-9.9-99-99.9 -99-99.911.9-9.9
5055119890511 22.1  6.2  0.009999-99.9-99.9-99.9-99.9 8.0 76-9.9-99-99.9 -99-99.912.1-9.9
5055119890512 21.1  8.7  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.6-9.9
5055119890513 27.6 13.7  0.009999-99.9-99.9-99.9-99.9 4.0 38-9.9-99-99.9 -99-99.9 7.7-9.9
5055119890514 22.2 14.4 37.919999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.6-9.9
5055119890515 16.6  5.6  0.009999-99.9-99.9-99.9-99.9 9.5 91-9.9-99-99.9 -99-99.913.3-9.9
5055119890516 17.7  0.8  0.009999-99.9-99.9-99.9-99.910.0 96-9.9-99-99.9 -99-99.913.7-9.9
5055119890517 20.6  4.6  0.009999-99.9-99.9-99.9-99.9 9.5 92-9.9-99-99.9 -99-99.913.2-9.9
5055119890518 22.6  9.6  0.009999-99.9-99.9-99.9-99.9 3.7 36-9.9-99-99.9 -99-99.9 7.2-9.9
5055119890519 25.1  9.8  0.009999-99.9-99.9-99.9-99.9 8.5 82-9.9-99-99.9 -99-99.912.0-9.9
5055119890520 23.1 10.2  0.009999-99.9-99.9-99.9-99.9 7.2 70-9.9-99-99.9 -99-99.910.6-9.9
5055119890521 25.1 10.5  0.009999-99.9-99.9-99.9-99.9 3.0 29-9.9-99-99.9 -99-99.9 6.3-9.9
5055119890522 22.6 13.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.3-9.9
5055119890523 20.1  9.7  0.009999-99.9-99.9-99.9-99.9 9.0 88-9.9-99-99.9 -99-99.912.2-9.9
5055119890524 18.1  2.2  0.009999-99.9-99.9-99.9-99.9 9.2 90-9.9-99-99.9 -99-99.912.4-9.9
5055119890525 14.1  1.9  0.009999-99.9-99.9-99.9-99.9 9.5 93-9.9-99-99.9 -99-99.912.6-9.9
5055119890526 16.0  0.5  0.009999-99.9-99.9-99.9-99.9 9.3 92-9.9-99-99.9 -99-99.912.4-9.9
5055119890527 18.2  1.6  0.009999-99.9-99.9-99.9-99.9 8.4 83-9.9-99-99.9 -99-99.911.4-9.9
5055119890528 19.5  3.7  0.009999-99.9-99.9-99.9-99.9 7.5 74-9.9-99-99.9 -99-99.910.5-9.9
5055119890529 19.6  7.7  0.009999-99.9-99.9-99.9-99.9 0.2  1-9.9-99-99.9 -99-99.9 3.3-9.9
5055119890530 21.8  8.7  0.009999-99.9-99.9-99.9-99.9 4.2 41-9.9-99-99.9 -99-99.9 7.2-9.9
5055119890531 16.4 11.7  2.519999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.2-9.9
5055119890601 14.3 10.7 22.819999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.1-9.9
5055119890602 13.6  5.8  0.009999-99.9-99.9-99.9-99.9 2.7 27-9.9-99-99.9 -99-99.9 5.7-9.9
5055119890603 20.1  5.6  0.009999-99.9-99.9-99.9-99.9 5.5 55-9.9-99-99.9 -99-99.9 8.3-9.9
5055119890604 15.4 -0.8  0.009999-99.9-99.9-99.9-99.9 8.0 80-9.9-99-99.9 -99-99.910.7-9.9
5055119890605 15.6  2.2  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.1-9.9
5055119890606 17.6  6.7  0.009999-99.9-99.9-99.9-99.9 3.5 35-9.9-99-99.9 -99-99.9 6.4-9.9
5055119890607 20.1 11.7  0.009999-99.9-99.9-99.9-99.9 1.0 10-9.9-99-99.9 -99-99.9 4.0-9.9
5055119890608 15.6  8.9  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.1-9.9
5055119890609 14.4  7.7  0.009999-99.9-99.9-99.9-99.9 1.0 10-9.9-99-99.9 -99-99.9 4.0-9.9
