Id;Id Interno;Nombre;Provincia;Localidad;Latitud;Longitud
A872872;413;25 de Mayo - EEA Pergamino;Buenos Aires;25 de Mayo;-35.48;-60.13
A875000;682;5000;Buenos Aires;Hurlingham;-85;-55
A875001;683;5001;Buenos Aires;Hurlingham;-85;-60
A872993;704;993 - LAB;Sin asignar;loc_prueba;-84;-70
A872994;705;994 - LAB;Sin asignar;loc_prueba;-84;-65
A872996;707;996 - ENSAYO-CITEDEF-INTA;Sin asignar;loc_prueba;-34.6;-58.67
A872997;708;997 - LAB;Sin asignar;loc_prueba;-84;-50
A872998;709;998 - LAB;Sin asignar;loc_prueba;-84;-45
A872999;18;999 - LAB;Sin asignar;loc_prueba;-84;-40
A872995;706;A872995-CITEDEF-INTA;Buenos Aires;Villa Martelli;-34.55;-58.51
A872923;516;Abra Pampa - EEA Abra Pampa;Jujuy;Abra Pampa;-22.8;-65.83
A872814;236;Alfonso - EEA Pergamino;Buenos Aires;Mariano Alfonso;-33.91;-60.84
A872885;393;Andalgala - EEA Catamarca;Catamarca;Andalgala;-27.61;-66.33
A872912;403;Andresito - EEA Montecarlo;Misiones;Andresito;-25.62;-54.07
A872823;233;Anguil -EEA Anguil;La Pampa;Anguil;-36.54;-63.99
A872838;468;Aparicio - EEA Barrow;Buenos Aires;Coronel Dorrego;-38.67;-60.93
A872820;237;Arrecifes - EEA Pergamino;Buenos Aires;Arrecifes;-34.05;-60.14
A872913;404;B de Irigoyen - EEA Montecarlo;Misiones;Bernardo de Irigoyen;-26.28;-53.67
A872824;242;Balcarce - EEA Balcarce;Buenos Aires;Balcarce;-37.76;-58.3
A872811;251;Bandera - EEA EEA Quimilí;Santiago del Estero;Belgrano;-28.89;-62.27
A872849;269;Bariloche - EEA Bariloche;Río Negro;Bariloche;-41.12;-71.25
A872927;474;Barreal - EEA San Juan;San Juan;Barreal;-31.62;-69.47
A872893;383;Basail - EEA Col Benitez;Chaco;San Fernando;-27.9;-59.3
A872951;491;Bella Vista - EEA Bella Vista;Corrientes;Bella Vista;-28.45;-58.99
A872904;425;Bme de las Casas -EEA Colorado;Formosa;Bartolomé de las Casas;-25.45;-59.5
A872817;518;Bordenave - EEA Bordenave;Buenos Aires;Bordenave;-37.75;-63.08
A872921;427;Caa Cati - EEA Corrientes;Corrientes;Caá Catí;-27.75;-57.62
A872867;296;Calchaqui - EEA Reconquista;Santa Fe;Calchaqui;-29.88;-60.24
A872945;484;Capilla de Siton - ICyA CIRN;Córdoba;Capilla de Sitón;-30.57;-63.65
NH0989;664;Capilla del Monte (EMC);Córdoba;Capilla del Monte;-30.87;-64.55
A872926;678;Casbas - EEA C. Naredo;Sin asignar;A definir;-36.86;-62.45
A872801;79;Castelar - ICyA CIRN;Buenos Aires;Hurlingham;-34.61;-58.67
A872889;380;Catuna - EEA La Rioja;La Rioja;Villa Santa Rita de Catuna;-30.96;-66.17
A872928;431;Caucete - EEA San Juan;San Juan;Caucete;-31.7;-68.29
A872946;489;Cañada Ombu - EEA Reconquista;Santa Fe;Cañada Ombu;-28.36;-60.15
A872864;293;Ceres - EEA Rafaela;Santa Fe;Ceres;-29.87;-61.96
A872908;382;Cerro Azul - EEA Cerro Azul;Misiones;Cerro Azul;-27.66;-55.44
A872806;472;Chascomus - EEA Cuenca Salado;Buenos Aires;Chascomus;-35.74;-58.05
A872891;377;Col Popular - EEA Col Benitez;Chaco;Colonia Popular;-27.27;-59.14
A872917;700;Col. Tabay - EEA Bella Vista;Corrientes;Colonia Tabay;-28.18;-58.16
A872854;495;Colan Conhué - EEA Esquel;Chubut;Colan Conhué;-43.23;-69.92
A872830;272;Concepción - EEA Conc. Uruguay;Entre Rios;Concepción del Uruguay;-32.49;-58.35
A872816;244;Coronel Suarez - EEA C. Naredo;Buenos Aires;Coronel Suarez;-37.29;-62.04
A872829;478;Dean Funes - EEA Manfredi;Córdoba;Dean Funes;-30.34;-64.32
A872958;502;Du Graty - EEA Sáenz Peña;Chaco;Coronel Du Graty;-27.7;-60.91
A872967;703;El Calafate - EEA Rio Gallegos;Santa Cruz;El Calafate;-50.31;-72.32
A872905;424;El Colorado - EEA El Colorado;Formosa;Pirane;-26.33;-59.35
A872887;378;El Portezuelo - EEA La Rioja;La Rioja;El Portezuelo;-30.84;-66.7
A872860;303;Esperanza - EEA Santa Cruz;Santa Cruz;Esperanza;-51.1;-70.5
A872914;417;Esquina - EEA Bella Vista;Corrientes;Esquina;-30.04;-59.53
A872871;348;Famailla - EEA Famailla;Tucuman;Famaillá;-27.02;-65.38
A872805;248;Federal - EEA Concordia;Entre Rios;Federal;-30.93;-58.77
A872815;238;Ferre - EEA Pergamino;Buenos Aires;Ferré;-34.1;-61.14
A872964;721;Gob. Gregores - EEA Santa Cruz;Santa Cruz;Gobernador Gregores;-48.81;-70.14
A872950;408;Goya - EEA Bella Vista;Corrientes;Goya;-29.18;-59.09
A872972;674;Gral. Conesa - EEA Valle Inf.;Río Negro;General Conesa;-40.21;-64.19
A872846;268;Gral. Roca - EEA Alto Valle;Río Negro;General Roca;-39.03;-67.74
A872853;274;Gualjaina - EEA Esquel;Chubut;Gualjaina;-42.73;-70.5
A872949;711;Guardia Mitre - EEA V Inferior;Río Negro;Guardia Mitre;-40.43;-63.68
A872968;722;Güer Aike - EEA Santa Cruz;Santa Cruz;Güer Aike;-51.61;-69.66
A872925;488;Hornillos - IPAF NOA;Jujuy;Hornillos;-23.66;-65.43
A872870;716;Hughes - EEA Oliveros;Santa Fe;Hughes;-33.85;-61.33
A872822;234;Huinca Renanco - EEA Anguil;Córdoba;Huinca Renanco;-34.77;-64.37
A872898;667;Ing. Jacobacci - EEA Bariloche;Río Negro;Ingeniero Jacobacci;-41.33;-69.55
NH0230;59;INTA - Alto Valle (EMC);Río Negro;General Roca;-39.01;-67.4
NH0446;53;INTA - Anguil (EMC);La Pampa;Capital;-36.5;-63.98
