id_estacion,nombre,provincia,lat,lon,altura
50196,AZUL-SMN,BUENOS AIRES,-36.75,-59.83,132
50189,BOLIVAR-SMN,BUENOS AIRES,-36.25,-61.1,93
50221,BAHIA BLANCA-SMN,BUENOS AIRES,-38.73,-62.17,83
50323,BARILOCHE-SMN,RIO NEGRO,-41.15,-71.17,840
50008,BENITO JUAREZ-SMN,BUENOS AIRES,-37.72,-59.78,207
50523,BERNARDO DE IRIGOYEN AERO(MISIO),MISIONES,-26.25,-53.65,815
50332,BUENOS AIRES-AERO-SMN,CIUDAD AUTONOMA DE BUENOS AIRES,-34.57,-58.42,6
50044,CATAMARCA-SMN,CATAMARCA,-28.6,-65.77,454
50081,CERES-SMN,SANTA FE,-29.88,-61.95,88
50270,COMODORO RIVADAVIA-SMN,CHUBUT,-45.78,-67.5,46
50477,CONCORDIA-SMN,ENTRE RIOS,-31.3,-58.02,38
50100,CORDOBA-SMN,CORDOBA,-31.32,-64.22,474
50105,CORDOBA-OBS,CORDOBA,-31.4,-64.18,425
50204,CORONEL SUAREZ-SMN,BUENOS AIRES,-37.5,-61.95,234
50390,CORONEL PRINGLESSMN,BUENOS AIRES,-38.02,-61.33,247
50470,CORRIENTES-SMN,CORRIENTES,-27.47,-58.82,62
50476,CHAMICAL-SMN,LA RIOJA,-30.37,-66.28,461
50525,CHAPELCO-SMN,NEUQUEN,-40.08,-71.13,779
50102,CHEPES-SMN,LA RIOJA,-31.33,-66.6,658
50031,CHILECITO-SMN,LA RIOJA,-29.17,-67.5,945
50190,DOLORES-SMN,BUENOS AIRES,-36.35,-57.73,9
50158,EL BOLSON-SMN,RIO NEGRO,-41.97,-71.52,337
50350,EL BOLSON-SMN,RIO NEGRO,-41.93,-71.55,310
50571,EL CALAFATE-SMN,SANTA CRUZ,-50.27,-72.05,204
50552,EL TREBOL-SMN,SANTA FE,-32.25,-61.38,92
50159,EL PALOMAR-SMN,BUENOS AIRES,-34.6,-58.6,12
50303,ESQUEL-SMN,CHUBUT,-42.9,-71.35,787
50166,EZEIZA-SMN,BUENOS AIRES,-34.82,-58.53,20
50483,FORMOSA-SMN,FORMOSA,-26.2,-58.23,60
50334,GENERAL PICO-SMN,LA PAMPA,-35.7,-63.75,145
50283,GOBERNADOR GREGORES-SMN,SANTA CRUZ,-48.78,-70.17,357
50134,GUALEGUAYCHU-SMN,ENTRE RIOS,-33.02,-58.52,21
50353,IGUAZU-SMN,MISIONES,-25.73,-54.47,270
50086,JACHAL-SMN,SAN JUAN,-30.25,-68.75,1165
50500,JUJUY-SMN,JUJUY,-24.38,-65.08,905
50543,JUJUY-UN,JUJUY,-24.17,-65.18,1302
50453,JUNIN-SMN,BUENOS AIRES,-34.55,-60.92,81
50148,LABOULAYE-SMN,CORDOBA,-34.13,-63.37,137
50450,LA PLATA-SMN,BUENOS AIRES,-34.97,-57.9,19
50077,LA RIOJA-SMN,LA RIOJA,-29.38,-66.82,429
50186,LAS FLORES-SMN,BUENOS AIRES,-36.03,-59.1,33
50011,LAS LOMITAS-SMN,FORMOSA,-24.7,-60.58,130
50179,MALARGUE-SMN,MENDOZA,-35.5,-69.58,1425
50248,MAQUINCHAO-SMN,RIO NEGRO,-41.25,-68.73,888
50369,MARCOS JUAREZ-SMN,CORDOBA,-32.7,-62.15,114
50210,MAR DEL PLATA-SMN,BUENOS AIRES,-37.93,-57.58,21
50131,MENDOZA-SMN,MENDOZA,-32.83,-68.78,705
50132,MENDOZA-OBS,MENDOZA,-32.88,-68.85,827
50021,METAN-SMN,SALTA,-25.48,-64.8,855
50087,MONTE CASEROS-SMN,CORRIENTES,-30.27,-57.65,54
50164,MORON-SMN,BUENOS AIRES,-34.67,-58.63,24
50227,NEUQUEN-SMN,NEUQUEN,-38.95,-68.13,271
50178,NUEVE DE JULIO-SMN,BUENOS AIRES,-35.45,-60.88,76
50057,OBERA-SMN,MISIONES,-27.48,-55.13,343
